log_name,n_cases,variant_entropy,normalized_variant_entropy,sequence_entropy,normalized_sequence_entropy,magnitude,variety,affinity,status,error
bug_fixes,126,4079.1912811269945,0.5994368414287884,5912.953844058476,0.5262417682886317,1532,22,0.1955235452022306,ok,
docs,46,525.4739588641773,0.58941390601333,899.6459458372722,0.4273383906102137,358,15,0.33004983246895503,ok,
feature_work,34,1520.861478146566,0.5246270851633162,1847.4922759638425,0.4946742511859409,586,15,0.24112432723854735,ok,
other,1892,119613.91699050354,0.6905062926408695,178024.62763496375,0.6137775757409988,28296,34,0.14813046449032205,ok,
tech_debt,235,5233.097146553043,0.6281993102538719,9572.886750642407,0.5424879305968962,2282,18,0.17310339733598312,ok,
whole,2333,137510.72100302324,0.6979802136499932,211231.69518374087,0.6141231977097611,33054,34,0.13464722593774192,ok,
