,Open issues (weekly created),Closed issues (weekly closed)
count,579.0,579.0
mean,4.03,4.23
std,3.26,5.79
min,0.0,0.0
25%,2.0,1.0
50%,3.0,2.0
75%,5.0,6.0
max,27.0,50.0
