,mean,std,cv
top10_variant_coverage,0.5233870967741935,0.014451268877113548,0.02761105301636487
gini_variant_concentration,0.43663998446703756,0.012971307815043652,0.02970710030341454
top1_variant_coverage,0.1975806451612903,0.01275111959745314,0.06453627877894651
