week_start,anomaly_direction,anomaly_score,commit_event_count,cm_total,cm_breaking_count,cm_feat_count,cm_fix_count,cm_chore_count,cm_docs_count,cm_style_count,cm_refactor_count,cm_test_count,cm_build_count,cm_ci_count,cm_perf_count,cm_revert_count,cm_bump_count,cm_wip_count,cm_other_count,cat_feature_work_count,cat_bug_fixes_count,cat_tech_debt_count,cat_docs_count,cat_other_count,cat_feature_work_ratio,cat_bug_fixes_ratio,cat_tech_debt_ratio,cat_docs_ratio,cat_other_ratio
2026-06-08,high,0.4090909090909091,45,42.0,0.0,18.0,16.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,18.0,16.0,4.0,2.0,2.0,0.42857142857142855,0.38095238095238093,0.09523809523809523,0.047619047619047616,0.047619047619047616
2026-06-15,high,0.2796610169491525,62,61.0,0.0,16.0,26.0,2.0,2.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,16.0,26.0,12.0,2.0,5.0,0.26229508196721313,0.4262295081967213,0.19672131147540983,0.03278688524590164,0.08196721311475409
2026-06-29,high,0.2804878048780488,74,66.0,0.0,17.0,23.0,1.0,3.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,17.0,23.0,11.0,3.0,12.0,0.25757575757575757,0.3484848484848485,0.16666666666666666,0.045454545454545456,0.18181818181818182
2026-07-06,high,0.6818181818181818,230,138.0,0.0,45.0,37.0,2.0,8.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,45.0,37.0,22.0,8.0,26.0,0.32608695652173914,0.26811594202898553,0.15942028985507245,0.057971014492753624,0.18840579710144928
2026-07-13,high,3.9594594594594597,236,225.0,0.0,21.0,120.0,30.0,7.0,0.0,1.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,32.0,21.0,120.0,45.0,7.0,32.0,0.09333333333333334,0.5333333333333333,0.2,0.03111111111111111,0.14222222222222222
2026-07-20,high,2.242424242424242,480,464.0,0.0,100.0,170.0,28.0,31.0,12.0,11.0,13.0,12.0,2.0,2.0,0.0,0.0,0.0,83.0,100.0,170.0,80.0,31.0,83.0,0.21551724137931033,0.36637931034482757,0.1724137931034483,0.0668103448275862,0.1788793103448276
