partition,commitizen,TradingAgents,Vibe-Trading,yargs,semantic-release
whole,0.1491301933265617,0.1656903604204623,0.1432851478237505,0.1346472259377419,0.1567925892516721
normal/anomaly states,0.154394099825417,0.16775976410690735,0.1487507871465905,0.13659663325016802,0.16063954395573254
commit categories,0.21191982838312431,0.1813050545732302,0.20090780941551115,0.15814771680446166,0.26935526655758174
states + categories,0.2172714538619732,0.18566244426677786,0.21043658274063679,0.16242140447787473,0.27756303576636693
