partition,commitizen,TradingAgents,Vibe-Trading,yargs,semantic-release
whole,0.6007258425216625,0.399763473067953,0.4417629107424302,0.6141231977097611,0.5331501760572405
normal/anomaly states,0.5965781169469101,0.38501212890943504,0.47531109057006476,0.6078414370939196,0.5263786269157851
commit categories,0.5699234921673759,0.39877356881991693,0.42207781176244313,0.5964572611680239,0.4841542409903037
states + categories,0.5577596310591381,0.379732610659296,0.4382682284859779,0.5867650753815269,0.47468226724790985
