partition,commitizen,TradingAgents,Vibe-Trading,yargs,semantic-release
whole,0.7278524056708998,0.6918023106958048,0.6791082088606365,0.6979802136499932,0.6616961393858388
normal/anomaly states,0.7107207685656309,0.6545839503400857,0.6438265890380607,0.6795478060244444,0.6478577016244959
commit categories,0.6860257548156712,0.6669915601595332,0.6414443136333363,0.6749010485119495,0.6032750455314084
states + categories,0.6648846057648733,0.6255331185497824,0.6034614164253403,0.6530043869224663,0.5862669058603847
