discovery_method,partition,commitizen,TradingAgents,Vibe-Trading,yargs,semantic-release
inductive_IMf_noise_0.2,whole,6.0,7.0,4.0,17.0,15.0
inductive_IMf_noise_0.2,normal/anomaly states,7.474683544303797,5.266021765417171,6.556461001164144,7.64466352336048,11.52048795746012
inductive_IMf_noise_0.2,commit categories,7.35253164556962,6.573155985489722,6.346915017462165,13.387912558936991,6.095714732561777
inductive_IMf_noise_0.2,states + categories,7.374683544303798,4.648125755743652,4.738067520372526,9.49849978568367,6.756021269940569
split_miner_eps_0.2_eta_0.5,whole,147.0,60.0,6.0,216.0,256.0
split_miner_eps_0.2_eta_0.5,normal/anomaly states,69.40506329113924,70.96735187424426,68.43538998835855,118.18259751393056,131.5943071629653
split_miner_eps_0.2_eta_0.5,commit categories,93.9360759493671,88.70979443772673,26.18975552968568,99.0827261037291,138.36190178292148
split_miner_eps_0.2_eta_0.5,states + categories,50.86012658227848,69.44377267230955,56.69615832363213,122.80840120017146,153.39099155458243
heuristics_dep_0.5,whole,79.0,42.0,35.0,71.0,54.0
heuristics_dep_0.5,normal/anomaly states,70.72784810126582,31.353083434099155,22.753201396973225,55.5533647663952,48.803253049734124
heuristics_dep_0.5,commit categories,51.5879746835443,32.23941958887546,23.671711292200232,45.83583369052722,32.46762589928058
heuristics_dep_0.5,states + categories,45.99936708860759,22.282950423216445,18.658905704307333,42.24517788255465,29.30403503284329
