log_name,variant_entropy,norm_variant_entropy,sequence_entropy,norm_sequence_entropy,Magnitude,Support,Variety,Level of detail,Time granularity,Structure,Affinity,Trace length (min),Trace length (avg),Trace length (max),Distinct traces,Deviation from random,Lempel-Ziv complexity,Pentland's task complexity,Pentland's process complexity,top1_variant_coverage,top10_variant_coverage,gini_variant_concentration
vitalizing,7663.992364984608,0.6933859683354288,12269.628167282046,0.5947265097198702,2621,246,25,7.711382113821138,45.39837398373984,0.6752,0.13268384654716478,3,10.654471544715447,31,81.30081300813008,0.8467206486287648,760,2277,208929613085404.1,0.028455284552845527,0.16666666666666666,0.1716260162601626
random_case_control,6269.737302407562,0.7027470959738953,11705.817339626807,0.5788359090626727,2575,246,31,7.735772357723577,58.073170731707314,0.8002081165452654,0.18919117579658243,3,10.467479674796747,30,74.39024390243902,0.8166617084023743,696,1960,9120108393559.115,0.052845528455284556,0.21138211382113822,0.23395086409880492
whole,28822.88032617955,0.745844575841414,62885.1286599969,0.5663825208516754,11838,1097,40,7.86873290793072,50.658158614402915,0.79375,0.1826004463296774,3,10.791248860528714,31,60.89334548769371,0.8207750536823064,2662,7852,1.905460717963252e+23,0.05834092980856882,0.19872379216043756,0.36819660587666964
