seed,discovery_method,fitness,precision,f_score,generalization,size,cfc,simplicity,status,error
0,alpha_classic,0.6965608341189482,0.1259850630955447,0.2133771767230078,0.6305146948636661,80.0,7.0,1.0,ok,
0,inductive_IM,0.9997596587153759,0.13183834401182848,0.232956681608143,0.7316137240116107,412.0,9.0,0.6137931034482758,ok,
0,heuristics_dep_0.6,0.848942185716721,0.47574019531855527,0.6097702015654406,0.4869089702020062,584.0,46.0,0.45161290322580644,ok,
0,heuristics_dep_0.7,0.848705090901587,0.4756664600123992,0.6096484719942138,0.4845888370671828,584.0,46.0,0.45161290322580644,ok,
0,heuristics_dep_0.8,0.8533411172311609,0.4891788669637174,0.6218699844695906,0.47968356924777644,584.0,46.0,0.45161290322580644,ok,
0,heuristics_dep_0.9,0.848991246486498,0.4756664600123992,0.6097222834495063,0.48073785960415816,584.0,46.0,0.45161290322580644,ok,
0,inductive_IMf_noise_0.3,0.9224500945868395,0.28075886843286935,0.43049221324284975,0.7756758952569024,265.0,4.0,0.6536312849162011,ok,
0,inductive_IMf_noise_0.4,0.9589082183936792,0.1584699453551912,0.27199051833921917,0.6366008825577616,239.0,2.0,0.6094674556213017,ok,
0,inductive_IMf_noise_0.5,0.9239163993246278,0.19809184214330455,0.3262370003435582,0.6406618228984289,234.0,2.0,0.6296296296296295,ok,
0,inductive_IMf_noise_0.6,0.8715789862954911,0.28057553956834536,0.4244981708038519,0.6993097051257348,245.0,2.0,0.6687116564417177,ok,
1,alpha_classic,0.6930684994661547,0.11396133200323022,0.1957375211888665,0.6314440103036936,90.0,11.0,1.0,ok,
1,inductive_IM,0.9997360607060376,0.11455751440041895,0.20556033119011458,0.73504458178001,394.0,7.0,0.6115107913669064,ok,
1,heuristics_dep_0.6,0.8426041557450019,0.38438520130576714,0.5279337855148439,0.459203859413687,598.0,30.0,0.44990176817288796,ok,
1,heuristics_dep_0.7,0.8426041557450019,0.38438520130576714,0.5279337855148439,0.45811628136824345,598.0,30.0,0.44990176817288796,ok,
1,heuristics_dep_0.8,0.8369792303607835,0.3690746428094539,0.5122620429423135,0.45927256684604534,598.0,30.0,0.44990176817288796,ok,
1,heuristics_dep_0.9,0.8423176128517715,0.38438520130576714,0.5278775290032731,0.4643336414655518,598.0,30.0,0.44990176817288796,ok,
1,inductive_IMf_noise_0.3,0.9168061957760418,0.19922879177377895,0.32732699729455683,0.6886975269155882,330.0,5.0,0.631578947368421,ok,
1,inductive_IMf_noise_0.4,0.8857946246108552,0.1992074630562206,0.3252655491879756,0.6559992157047712,352.0,5.0,0.6610169491525424,ok,
1,inductive_IMf_noise_0.5,0.9061708815108042,0.19299842252153865,0.31822131499660444,0.6754708150131528,292.0,4.0,0.64,ok,
1,inductive_IMf_noise_0.6,0.8716453552901067,0.3492745835572273,0.49871176445192217,0.6881654838653629,271.0,2.0,0.6759776536312848,ok,
2,alpha_classic,0.5892514054451097,0.09481107080259243,0.16334050956466584,0.5548670247912519,101.0,16.0,0.9615384615384615,ok,
