title
""
fix(Init): fix a typo in _ask_version_provider options and remove unnecessary filter
"refactor(Init): remove unnecessary methods from ProjectInfo and refactor _ask_tag, improve test coverage"
docs(external_links): typo
Absolute link or link to Markdown files?
"refactor(bump): add type for out, replace function with re escape"
refactor: misc cleanup
refactor(customize): improve code readability
Make 1 single command to paste all desired information
Add py.typed file
Encourage installation through pipx
"Add option for ""cz.toml"" config file"
conventional keyword in body would be parsed
refactor: move ruff and black from the format file to the pre-commit hooks
Add support for `argcomplete` 3.x
"`cz init` fails, When any one or none of the pre-commit hooks are selected"
Lotram/customizable allowed prefixes
Support tox >= 4.0.0
cz changelog --no-prereleases
cz commit with prepare-commit-msg hook
GitHub actions to bump and publish
refactor(changelog): simplify logic for get_oldest_and_newest_rev
refactor(Init): remove the variable values_to_add and the _update_config_file function for readability
refactor(Init): use ternary operator
fix(init): make welcome message easier to read
refactor(git): retype get_commits parameter to make it more friendly to call sites
ci(pyproject.toml): strict check for invalid commit messages
Add type hints for cli.py
Semver refactor
docs: improve clarity of docs and fix typo/grammar issues
"cz commit -s  should fail with deprecation warning BEFORE going through dialog, --help should reflect behavior"
Bumping issue with PATCH version
Shortcut for commit types
"Support `charset-normalizer` 3.x versions, not just 3.0.x"
feat: Introduce tag_regex option with smart default 
Is there any way to use this in a prepare-commit-msg hook?
Does not work with python 3.6
--major-version-zero is meaningless for current version 3.0.0
Add Unicode Support
Developmental releases
clear way to manage settings
Exception when command is not given
docs(defaults): deprecate type Questions
refactor(init): code cleanup and better test coverage
test(cz_customize): add missing YAML configuration file tests
docs(feature_request): eliminate duplicated label
build(.gitignore): ignore `pyrightconfig.json` and `poetry.toml`
docs(commit): rewrite command commit page
refactor(changelog): minor cleanup
refactor(bump): code cleanup and better test coverage
fix: bump changelog for prerelease without commits
Specify `bash` shell in CI Workflows
Add a `--quiet` option
cz check fails
Run `cz init` will raise `UnicodeDecodeError`
brew install commitizen fail on linux brew
refactor(process_commit_message): better type and early return
refactor(questions): type questions with TypedDict
fix(question): strict type with pydantic for questions
Refactor changelog 5
docs(bug_report.yml): update bug_report.yml
build(deps): bump typing-extensions from 4.11.0 to 4.12.0
Turn on isort for ruff
ci(workflow): move 'generate_cli_screenshots' steps to 'docspublish'
build(poetry)(deps): bump importlib-metadata from 4.13.0 to 5.2.0
docs: add commit cli
make tag creation optional
[Feature Request] Allow commit signing
style: previous PR broke style guidelines
"Correct typo to spell ""convention"""
Discussion: deprecate configParser
refactor(Init): extract _get_config_data for readability
refactor(bump): eliminate similar patterns in code
refactor(git): simplify tag logic
feat: add check against default branch
`_valid_command_argument`
fix(deprecated): mark deprecated will be removed in v5
docs(pull_request_template): add task to fix broken external links in the docs
"Those ""XXX will be removed in commitizen 4."" are not removed in v4, discuss when to remove them?"
Refactor changelog 6
Add filter/search feature for commit change type
style: move codespell configuration to pyproject.toml
"feat(config_files): add suport for ""cz.toml"" config file"
"option `ci` reads `Changes to our CI configuration`, possibly an error"
fix(changelog): handle custom tag_format in changelog generation
Fix/deps
build(poetry)(deps-dev): bump types-pyyaml from 5.4.12 to 6.0.12.9
feat: draft of the --empty parameter
Report hook installation fail
Unclear documentation regarding `bump_map`
Incorporate --version-files flag to cz bump instead of hard-reading it from the config
feat(commands/commit): apply prepare-commit-msg hook
docs(Tutorial): Tutorial section added. GitLab tutorial added
Travis is not running in PR
refactor(ExpectedExit): make the constructor more compact
refactor(changelog): shorten condition expression and early return
"Redo #1466, #1479 and #1480"
Fix `tpl.filename` type
[DO NOT MERGE] Testing invalid commit messages
refactor(cz): better typing and refactor message method
refactor(check): rename variable and compile pattern once
docs(README): fix broken bullet points
refactor(commit): simplify call
fix: add description for subcommands
"missing help text when subcommand is used (e.g., `cz commit --help`)"
Create a flag to build the changelog from commits in multiple git repositories
build(poetry)(deps): bump importlib-metadata from 4.13.0 to 6.6.0
build(poetry)(deps): bump argcomplete from 2.1.2 to 3.0.6
Bump development dependencies
cz bump after git revert doesn't work
Command changelog
fix mypy warning and enforce it in scripts
ci: run tests on pull_requests
Investigation on how to run: git cz
docs(contributing): add Contributing TL;DR page
docs: add installation and usage guide for cz-ai plugin leveraging GP…
refactor(containers): add unique list
"refactor(changelog): better typing, yield"
"docs(faq): add ""features we won't add"" section"
docs(label_pr.yml): add labels based on new PR title
build(poetry)(deps-dev): bump types-termcolor from 0.1.1 to 1.1.6.2
How to add link issue on changelog?
cz bump fails with --changelog and no local tag exists for local version
correcting style mistake
"pytest failure: shutil.py:606: PermissionError, bump.py:126: SystemExit"
"docs(config.md): fix format issue, add period and add title to example config code blocks"
build: remove not needed importlib-metadata dependency for python >= 3.10
build(deps-dev): bump mypy to 1.16.0
docs(taplo): add toml formatter
refactor(cli): early return and improve test coverage
refactor(check): code cleanup
"Skip ""git push"" is no screenshot is updated in job ""update-cli-screenshots"""
commitizen v4
Enable multiple locations of config file .cz.*
"cz bump cannot find version scheme ""semver"" after upgrade"
`cz bump` with a breaking change after an RC does not automatically increase the major version
Issues Running cz bump in ci/cd pipeline
feat: pre-release seperated changelog
fix(commands/check.py): make --commit-msg-file a required argument for check command
77 GitHub actions
New command: cz init
refactor(init): remote extra words
docs(bump.md): fix minor grammar issue and add titles for code blocks
Enable `ruff` rule PGH003
Mention why we don't use pydantic in FAQ
Add type annotations for the arguments of the CLI entry point
"refactor(BaseConfig): update function name, upgrade mypy version"
refactor(git): code cleanup and test coverage
Inject the output of `cz --help` into README with GitHub workflow
New `retry_after_failure` config option and `--no-retry` overwrite flag
Feat 451 add commit args
Add  example and illustration to `cz commit --retry` 
Add documentation for gitlab-ci
Fixes #56: feat(Commands/commit): add ´--dry-run´ flag to the Commit command
How to type multiple lines for body part?
