variant,count
"('committed', 'created', 'labeled', 'labeled', 'labeled', 'ready_for_review', 'review_requested', 'review_requested', 'review_requested', 'commented', 'reviewed', 'closed', 'merged', 'head_ref_deleted')",1
"('committed', 'created', 'labeled', 'labeled', 'ready_for_review', 'review_requested', 'review_requested', 'review_requested', 'milestoned', 'reviewed', 'closed', 'merged', 'commented', 'head_ref_deleted')",1
"('committed', 'created', 'labeled', 'labeled', 'ready_for_review', 'review_requested', 'review_requested', 'review_requested', 'milestoned', 'reviewed', 'labeled', 'unlabeled', 'unlabeled', 'closed', 'merged')",1
"('committed', 'created', 'labeled', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'closed', 'commented', 'head_ref_deleted')",1
"('committed', 'created', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'created', 'renamed', 'committed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'commented', 'commented', 'mentioned', 'subscribed', 'head_ref_deleted', 'merged', 'closed')",1
"('committed', 'created', 'review_requested', 'review_requested', 'labeled', 'commented', 'commented', 'closed', 'merged', 'head_ref_deleted', 'commented')",1
"('committed', 'created', 'review_requested', 'review_requested', 'labeled', 'review_requested', 'labeled', 'reviewed', 'head_ref_deleted', 'closed', 'merged')",1
"('committed', 'created', 'review_requested', 'review_requested', 'labeled', 'review_requested', 'labeled', 'reviewed', 'merged', 'head_ref_deleted', 'closed')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'closed', 'commented', 'renamed', 'commented')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'closed', 'commented', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'committed', 'renamed', 'committed', 'committed', 'head_ref_force_pushed', 'reviewed', 'unlabeled', 'labeled', 'reviewed', 'closed', 'merged', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'cross-referenced', 'committed', 'commented', 'subscribed', 'mentioned', 'reviewed', 'commented', 'closed', 'merged', 'commented', 'commented', 'commented', 'subscribed', 'mentioned', 'commented', 'mentioned', 'subscribed', 'commented', 'subscribed', 'mentioned', 'commented', 'commented', 'cross-referenced', 'cross-referenced')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'closed', 'merged')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'closed', 'merged', 'head_ref_deleted')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'commented', 'commented', 'merged', 'closed', 'cross-referenced')",1
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'commented', 'mentioned', 'subscribed', 'reviewed', 'labeled', 'unlabeled', 'merged', 'closed', 'cross-referenced')",1
