variant,count
"('committed', 'created', 'commented', 'labeled', 'commented', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'closed')",2
"('created', 'commented', 'cross_referenced', 'closed')",2
"('committed', 'committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'labeled', 'commented', 'reviewed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'commented', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('created', 'committed', 'labeled', 'cross_referenced', 'closed', 'commented', 'head_ref_deleted')",2
"('created', 'commented', 'cross_referenced', 'labeled', 'commented', 'commented', 'mentioned', 'committed', 'head_ref_force_pushed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'labeled', 'labeled', 'commented', 'ready_for_review', 'review_requested', 'review_requested', 'review_requested', 'milestoned', 'reviewed', 'merged', 'closed')",2
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'labeled', 'commented', 'reviewed', 'merged', 'closed')",2
"('committed', 'created', 'labeled', 'commented', 'reviewed', 'merged', 'closed')",2
"('created', 'commented', 'labeled', 'commented', 'mentioned', 'committed', 'head_ref_force_pushed', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'reviewed', 'commented', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'review_requested', 'labeled', 'review_requested', 'review_requested', 'cross_referenced', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('created', 'committed', 'commented', 'labeled', 'commented', 'merged', 'closed', 'head_ref_deleted')",2
"('created', 'cross_referenced', 'closed')",2
"('created', 'committed', 'commented', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'reviewed', 'commented', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'labeled', 'labeled', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'committed', 'committed', 'created', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'labeled', 'commented', 'cross_referenced', 'closed', 'commented', 'head_ref_deleted')",2
"('committed', 'created', 'labeled', 'commented', 'commented', 'closed', 'head_ref_deleted')",2
"('created', 'labeled', 'commented', 'closed', 'cross_referenced')",2
"('created', 'committed', 'labeled', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'labeled', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'commented', 'cross_referenced', 'labeled', 'commented', 'commented', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'commented', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('created', 'labeled', 'commented', 'cross_referenced', 'closed')",2
"('created', 'labeled', 'commented', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'commented', 'closed', 'head_ref_deleted')",2
"('created', 'labeled', 'commented', 'labeled', 'commented', 'closed')",2
"('created', 'labeled', 'commented', 'labeled', 'referenced', 'cross_referenced', 'closed')",2
"('created', 'labeled', 'commented', 'mentioned', 'subscribed', 'commented', 'closed')",2
"('committed', 'created', 'commented', 'labeled', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('committed', 'created', 'commented', 'review_requested', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('created', 'labeled', 'labeled', 'commented', 'cross_referenced', 'closed')",2
"('created', 'labeled', 'labeled', 'cross_referenced', 'cross_referenced', 'commented', 'closed')",2
"('created', 'labeled', 'labeled', 'labeled', 'cross_referenced', 'closed')",2
"('created', 'labeled', 'renamed', 'commented', 'commented', 'closed')",2
"('created', 'labeled', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'commented', 'mentioned', 'committed', 'head_ref_force_pushed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('created', 'renamed', 'cross_referenced', 'closed')",2
"('created', 'committed', 'head_ref_force_pushed', 'commented', 'merged', 'closed', 'head_ref_deleted')",2
"('created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'head_ref_force_pushed', 'committed', 'head_ref_force_pushed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
"('created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'reviewed', 'committed', 'head_ref_force_pushed', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",2
