seed,discovery_method,fitness,precision,f_score,generalization,size,cfc,simplicity,status,error
0,alpha_classic,0.6490770192331494,0.24565875418193406,0.35642131822746836,0.6296737493368177,41.0,0.0,1.0,ok,
0,inductive_IM,1.0,0.2273692489186001,0.37049852620786883,0.7112948942836532,229.0,5.0,0.6149068322981366,ok,
0,heuristics_dep_0.6,0.8084647964255693,0.5449330783938815,0.6510416758974751,0.4400176197953244,316.0,19.0,0.48638132295719844,ok,
0,heuristics_dep_0.7,0.8085336738659707,0.5449330783938815,0.651064007518831,0.4431893593963565,316.0,19.0,0.48638132295719844,ok,
0,heuristics_dep_0.8,0.8044119782981595,0.5449330783938815,0.6497236469751597,0.4382476296903425,316.0,19.0,0.48638132295719844,ok,
0,heuristics_dep_0.9,0.8084647964255693,0.5449330783938815,0.6510416758974751,0.4432471668314033,316.0,19.0,0.48638132295719844,ok,
0,inductive_IMf_noise_0.3,0.942822577874371,0.42613787596486563,0.5869744587878147,0.7112258813120004,183.0,5.0,0.6585365853658536,ok,
0,inductive_IMf_noise_0.4,0.9102800149976138,0.28914044512663084,0.4388765699378218,0.6318018123208924,223.0,3.0,0.6644295302013422,ok,
0,inductive_IMf_noise_0.5,0.9057371349095966,0.28959014816240136,0.43886315456728403,0.6375534144728304,212.0,3.0,0.6619718309859156,ok,
0,inductive_IMf_noise_0.6,0.8756914943810516,0.30843820920156795,0.4561944785655673,0.6194482683085598,209.0,3.0,0.6690647482014388,ok,
1,alpha_classic,0.6115979207831866,0.18615984405458086,0.28543745626909073,0.6034148968925407,42.0,1.0,1.0,ok,
1,inductive_IM,1.0,0.18263574278179728,0.3088622069754145,0.6654946575296068,408.0,10.0,0.6312056737588652,ok,
1,heuristics_dep_0.6,0.7906827215337854,0.6441402908468776,0.7099281149266257,0.4886997875735355,291.0,18.0,0.49572649572649574,ok,
1,heuristics_dep_0.7,0.789795918367347,0.6441402908468776,0.7095704387653355,0.48856387852530836,291.0,18.0,0.49572649572649574,ok,
1,heuristics_dep_0.8,0.7906827215337854,0.6441402908468776,0.7099281149266257,0.4886997875735355,291.0,18.0,0.49572649572649574,ok,
1,heuristics_dep_0.9,0.789795918367347,0.6441402908468776,0.7095704387653355,0.48856387852530836,291.0,18.0,0.49572649572649574,ok,
1,inductive_IMf_noise_0.3,0.9562719835943574,0.28146580530184895,0.43491903756127986,0.6527188367580643,225.0,4.0,0.6470588235294118,ok,
1,inductive_IMf_noise_0.4,0.9175740686913356,0.279245283018868,0.4281819643647089,0.6033995865362315,251.0,4.0,0.6568047337278107,ok,
1,inductive_IMf_noise_0.5,0.9277305163289025,0.3871078938297139,0.5462751976865512,0.5670176289570166,212.0,1.0,0.6619718309859156,ok,
1,inductive_IMf_noise_0.6,0.8924775932644149,0.37617791179796456,0.529269539320957,0.5307645607020237,198.0,1.0,0.6666666666666666,ok,
2,alpha_classic,0.5667683494364413,0.1816722837425775,0.27514834398495597,0.6192527410198527,70.0,16.0,0.6595744680851063,ok,
2,inductive_IM,1.0,0.18917674907943183,0.31816422449543813,0.6766311049386784,386.0,10.0,0.626865671641791,ok,
2,heuristics_dep_0.6,0.7917566746914786,0.7606936416184971,0.7759143874934228,0.5195072131428777,275.0,18.0,0.48878923766816146,ok,
2,heuristics_dep_0.7,0.7945763211264821,0.7606936416184971,0.77726590204924,0.5210400253423378,275.0,18.0,0.48878923766816146,ok,
2,heuristics_dep_0.8,0.7934946283423043,0.7606936416184971,0.7767480042217113,0.5252791156012906,275.0,18.0,0.48878923766816146,ok,
2,heuristics_dep_0.9,0.7934946283423043,0.7606936416184971,0.7767480042217113,0.5252791156012906,275.0,18.0,0.48878923766816146,ok,
2,inductive_IMf_noise_0.3,0.9926683389015947,0.2706390720946099,0.4253198165380389,0.7347493627056434,242.0,7.0,0.6385542168674699,ok,
2,inductive_IMf_noise_0.4,0.8845903365615864,0.42917436032709044,0.5779474707220176,0.688753802622791,183.0,5.0,0.6585365853658536,ok,
2,inductive_IMf_noise_0.5,0.8776294534618463,0.25206691020957506,0.3916474404221223,0.6153568610965363,204.0,3.0,0.6521739130434783,ok,
2,inductive_IMf_noise_0.6,0.8628157728931634,0.2735749099385463,0.4154288677809596,0.5808487203212445,205.0,3.0,0.6642335766423357,ok,
3,alpha_classic,0.6040062144591761,0.19673469387755105,0.296797569512446,0.5548730832636548,42.0,1.0,1.0,ok,
3,inductive_IM,1.0,0.18506730322922882,0.312332139659803,0.6775383536131786,257.0,5.0,0.6132596685082872,ok,
3,heuristics_dep_0.6,0.8066895446764225,0.520893371757925,0.6330289907871784,0.49213904047058243,294.0,18.0,0.4833333333333333,ok,
3,heuristics_dep_0.7,0.805107865919048,0.520893371757925,0.632541416993103,0.4891883461376182,294.0,18.0,0.4833333333333333,ok,
3,heuristics_dep_0.8,0.8083514771174863,0.520893371757925,0.6335400537191664,0.4993133205588268,294.0,18.0,0.4833333333333333,ok,
3,heuristics_dep_0.9,0.8083514771174863,0.520893371757925,0.6335400537191664,0.5002509796231481,294.0,18.0,0.4833333333333333,ok,
3,inductive_IMf_noise_0.3,0.936384891720176,0.3967579059261228,0.557356810441735,0.6922977444376519,197.0,5.0,0.6541353383458647,ok,
3,inductive_IMf_noise_0.4,0.9169159142753429,0.2706310679611651,0.4179134582845569,0.6551347493679562,263.0,4.0,0.6685714285714286,ok,
