log_name,n_cases,variant_entropy,normalized_variant_entropy,sequence_entropy,normalized_sequence_entropy,magnitude,variety,affinity,status,error
anomaly_bug_fixes,55,1294.812947164619,0.5955423240000411,2066.9122934820016,0.501626625776023,638,15,0.3362058744661745,ok,
anomaly_docs,5,54.41672891922842,0.3687890157168286,68.13905763381888,0.3316339325756656,52,13,0.26109584859584867,ok,
anomaly_feature_work,38,597.1211126740994,0.6027324396718673,993.9896246128493,0.5139257228650161,333,16,0.21716312336322133,ok,
anomaly_other,483,15154.67658629797,0.6613755119070924,28315.72923018838,0.37825319141912844,8296,26,0.15931511416445016,ok,
anomaly_tech_debt,7,48.01555867384053,0.49170283912781587,73.09848975740732,0.3933883048150386,48,12,0.23237648594791452,ok,
normal_bug_fixes,28,339.61152921429033,0.5627000194134687,585.5196824884492,0.42218217487240983,251,15,0.4114998012295791,ok,
normal_docs,2,0.0,0.0,0.0,0.0,12,7,0.6666666666666666,ok,
normal_feature_work,17,166.6127623320976,0.6025402923033144,243.25118699698834,0.45536043460066983,113,15,0.23018157592119562,ok,
normal_other,187,5311.044078568062,0.5820133831872298,11190.15196146632,0.31325145940234084,4273,23,0.1526121880727604,ok,
normal_tech_debt,5,26.746596009766545,0.41834062815739564,40.08843325004805,0.3343593367573282,34,10,0.32222222222222224,ok,
