log_name,discovery_method,n_cases,avg_cycle_time_days,avg_trace_length,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
anomaly_bug_fixes,heuristics_dep_0.5,55,27.706577441077442,11.6,0.5247460881286427,0.8388562486000686,0.6492890995260663,0.7319986840951872,226.0,12.0,0.46808510638297873,ok,
anomaly_docs,heuristics_dep_0.5,5,92.05015046296296,10.4,0.29298777626617234,0.9091269841269841,0.7551020408163265,0.8249869829050263,97.0,3.0,0.6615384615384615,ok,
anomaly_feature_work,heuristics_dep_0.5,38,48.054550438596486,8.763157894736842,0.46279657649435646,0.797210387777808,0.6116207951070336,0.6921914522672874,254.0,16.0,0.4807692307692307,ok,
anomaly_other,heuristics_dep_0.5,483,93.41010323211411,17.175983436853002,0.49192330841434584,0.8943982428234772,0.3169578045239545,0.46804819117579344,568.0,30.0,0.4522821576763486,ok,
anomaly_tech_debt,heuristics_dep_0.5,7,177.87963624338622,6.857142857142857,0.3073077522575095,0.9761904761904762,0.8793103448275862,0.9252212389380531,89.0,0.0,0.6393442622950819,ok,
normal_bug_fixes,heuristics_dep_0.5,28,16.44247974537037,8.964285714285714,0.4541721491482258,0.8755965332504434,0.5162241887905605,0.6495148447311605,188.0,6.0,0.5492957746478873,ok,
normal_docs,heuristics_dep_0.5,2,3.321087962962963,6.0,0.18305826175840778,1.0,1.0,1.0,32.0,0.0,1.0,ok,
normal_feature_work,heuristics_dep_0.5,17,19.224910130718957,6.647058823529412,0.3750821908608084,0.8720496894409938,0.6722689075630253,0.7592369776528005,130.0,3.0,0.5510204081632653,ok,
normal_other,heuristics_dep_0.5,187,47.68226783769063,22.850267379679146,0.45686665973966134,0.9313409479152807,0.2112017508953442,0.3443212040740366,371.0,13.0,0.4723127035830619,ok,
normal_tech_debt,heuristics_dep_0.5,5,18.135905092592594,6.8,0.3633017450938524,0.9388418998048146,0.5616438356164384,0.7028320938962673,57.0,1.0,0.7222222222222222,ok,
whole,heuristics_dep_0.5,827,72.51939714048994,16.98911729141475,0.5279633494191456,0.8857140974019027,0.24104338144657844,0.3789555872322161,679.0,42.0,0.4457831325301205,ok,
anomaly_bug_fixes,inductive_IMf_noise_0.2,55,27.706577441077442,11.6,0.7733082228225405,0.9954545454545455,0.2645854657113613,0.41805466837497646,133.0,1.0,0.6629213483146068,ok,
anomaly_docs,inductive_IMf_noise_0.2,5,92.05015046296296,10.4,0.3686614826748763,1.0,0.4285714285714286,0.6,113.0,1.0,0.6986301369863015,ok,
anomaly_feature_work,inductive_IMf_noise_0.2,38,48.054550438596486,8.763157894736842,0.7195825816602859,0.998688428806539,0.1929759704251386,0.32345158389485557,153.0,3.0,0.6380952380952382,ok,
anomaly_other,inductive_IMf_noise_0.2,483,93.41010323211411,17.175983436853002,0.7289571408220396,0.9551338041270488,0.4969990766389658,0.6537977687928901,333.0,7.0,0.6277056277056278,ok,
anomaly_tech_debt,inductive_IMf_noise_0.2,7,177.87963624338622,6.857142857142857,0.3709534409860681,0.9819819819819819,0.6956521739130435,0.8143824422134018,110.0,1.0,0.7142857142857143,ok,
normal_bug_fixes,inductive_IMf_noise_0.2,28,16.44247974537037,8.964285714285714,0.5478911172726182,0.9586863549965625,0.47433628318584076,0.6346581139106459,138.0,2.0,0.6888888888888889,ok,
normal_docs,inductive_IMf_noise_0.2,2,3.321087962962963,6.0,0.18305826175840778,1.0,1.0,1.0,32.0,0.0,1.0,ok,
normal_feature_work,inductive_IMf_noise_0.2,17,19.224910130718957,6.647058823529412,0.6108470697908182,0.9841369023623316,0.4782608695652174,0.6437019800360398,99.0,2.0,0.7142857142857143,ok,
normal_other,inductive_IMf_noise_0.2,187,47.68226783769063,22.850267379679146,0.7075715562290867,0.9847559370564387,0.6955533917559233,0.8152669515386307,146.0,1.0,0.64,ok,
normal_tech_debt,inductive_IMf_noise_0.2,5,18.135905092592594,6.8,0.37514453630673916,1.0,0.6714285714285715,0.8034188034188035,63.0,1.0,0.7435897435897437,ok,
whole,inductive_IMf_noise_0.2,827,72.51939714048994,16.98911729141475,0.7432517535579013,0.9589678590134707,0.5260288907059144,0.6793884218195158,390.0,7.0,0.6296296296296295,ok,
anomaly_bug_fixes,split_miner_eps_0.2_eta_0.5,55,27.706577441077442,11.6,0.6484308644025321,0.9363382482887779,0.5517551755175518,0.6943508603201907,156.0,1.0,0.6036036036036035,ok,
anomaly_docs,split_miner_eps_0.2_eta_0.5,5,92.05015046296296,10.4,0.3084876254200951,0.9425287356321839,0.75,0.8353140916808149,96.0,0.0,0.7333333333333333,ok,
anomaly_feature_work,split_miner_eps_0.2_eta_0.5,38,48.054550438596486,8.763157894736842,0.6101360456174614,0.9602739726027397,0.5757180156657964,0.7198566531920048,153.0,0.0,0.5855855855855855,ok,
anomaly_other,split_miner_eps_0.2_eta_0.5,483,93.41010323211411,17.175983436853002,0.7322628763898194,0.7959988010442873,0.27602811425153284,0.40991143946811387,507.0,118.0,0.3453815261044177,ok,
anomaly_tech_debt,split_miner_eps_0.2_eta_0.5,7,177.87963624338622,6.857142857142857,0.38229729589385886,0.8671215074723846,1.0,0.9288324343135549,70.0,1.0,0.7272727272727273,ok,
normal_bug_fixes,split_miner_eps_0.2_eta_0.5,28,16.44247974537037,8.964285714285714,0.5568325590935719,0.9518518518518518,0.5852272727272727,0.7248158593685825,132.0,0.0,0.6444444444444444,ok,
normal_docs,split_miner_eps_0.2_eta_0.5,2,3.321087962962963,6.0,0.19526214587563495,1.0,1.0,1.0,36.0,0.0,1.0,ok,
normal_feature_work,split_miner_eps_0.2_eta_0.5,17,19.224910130718957,6.647058823529412,0.43746525615324494,0.9713114754098361,0.6710526315789473,0.7937352245862885,112.0,0.0,0.6000000000000001,ok,
normal_other,split_miner_eps_0.2_eta_0.5,187,47.68226783769063,22.850267379679146,0.6359674735668743,0.9792113805511954,0.20957655213984328,0.34525879563306655,231.0,2.0,0.5367231638418078,ok,
normal_tech_debt,split_miner_eps_0.2_eta_0.5,5,18.135905092592594,6.8,0.3668208387271884,0.9814814814814815,0.75,0.8502673796791445,56.0,0.0,0.7647058823529413,ok,
whole,split_miner_eps_0.2_eta_0.5,827,72.51939714048994,16.98911729141475,0.7369520965595563,0.85899387052324,0.24917802374319198,0.38629818383218295,417.0,60.0,0.4021164021164021,ok,
