,Open issues (weekly created),Closed issues (weekly closed)
count,67.0,67.0
mean,12.36,12.61
std,15.93,23.18
min,0.0,0.0
25%,2.0,1.0
50%,6.0,3.0
75%,15.0,10.5
max,72.0,112.0
