issue_id,cm_total,cm_breaking_count,cm_feat_count,cm_fix_count,cm_chore_count,cm_docs_count,cm_style_count,cm_refactor_count,cm_test_count,cm_build_count,cm_ci_count,cm_perf_count,cm_revert_count,cm_bump_count,cm_wip_count,cm_other_count,cat_feature_work_count,cat_bug_fixes_count,cat_tech_debt_count,cat_docs_count,cat_other_count,cat_feature_work_ratio,cat_bug_fixes_ratio,cat_tech_debt_ratio,cat_docs_ratio,cat_other_ratio,dominant_category,dominant_type,top_scopes
112353,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1.0,0.0,0.0,0.0,bug_fixes,fix,['github_action/pythonpackage']
112476,8,0,2,1,0,1,1,1,2,0,0,0,0,0,0,0,2,1,4,1,0,0.25,0.125,0.5,0.125,0.0,tech_debt,test,"['commands/version', 'command/version', 'cli']"
113363,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.5,0.5,0.0,tech_debt,ci,[]
113455,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,['tutorial']
113659,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,7,0.0,0.0,0.125,0.0,0.875,other,other,[]
113959,6,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,feature_work,feat,"['cz/cz_customize', 'scripts']"
115413,12,0,3,3,0,3,1,1,1,0,0,0,0,0,0,0,3,3,3,3,0,0.25,0.25,0.25,0.25,0.0,feature_work,feat,"['config', 'cz', 'commit']"
116140,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0.0,0.0,0.5,0.0,feature_work,feat,['bump']
116583,10,0,6,1,0,2,0,0,1,0,0,0,0,0,0,0,6,1,1,2,0,0.6,0.1,0.1,0.2,0.0,feature_work,feat,"['config', 'readme']"
116685,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,bug_fixes,fix,[]
116812,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,ci,[]
116854,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,feature_work,other,[]
203,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,ci,['lychee']
327,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0,0.0,0.0,1.0,0.0,docs,docs,"['customization/config_file', 'config/option', 'customize']"
2938,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,test,[]
3950,13,0,4,4,0,0,0,2,2,0,0,0,0,0,0,1,4,4,4,0,1,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.0,0.07692307692307693,feature_work,feat,"['cli', 'bump', 'config']"
4220,8,0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,1,4,3,0,0,0.125,0.5,0.375,0.0,0.0,bug_fixes,fix,['cli']
5861,11,0,1,0,0,7,0,1,1,1,0,0,0,0,0,0,1,0,3,7,0,0.09090909090909091,0.0,0.2727272727272727,0.6363636363636364,0.0,docs,docs,"['auto_check', 'prek', 'project_info']"
7173,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,bug_fixes,fix,['cli']
7304,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,tech_debt,ci,[]
7356,8,0,1,3,0,0,0,3,0,0,0,0,0,0,0,1,1,3,3,0,1,0.125,0.375,0.375,0.0,0.125,bug_fixes,refactor,['config']
8042,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,build,['dev']
8291,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,docs,docs,['commands/bump.md']
8924,12,0,3,3,0,0,1,2,0,2,0,0,0,0,0,1,3,3,5,0,1,0.25,0.25,0.4166666666666667,0.0,0.08333333333333333,tech_debt,fix,[]
9123,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,test,"['snapshots', 'tox']"
9514,8,0,2,0,0,0,1,0,3,2,0,0,0,0,0,0,2,0,6,0,0,0.25,0.0,0.75,0.0,0.0,tech_debt,test,"['tox', 'commands']"
10053,7,0,2,0,0,0,1,0,2,2,0,0,0,0,0,0,2,0,5,0,0,0.2857142857142857,0.0,0.7142857142857143,0.0,0.0,tech_debt,test,"['tox', 'commands']"
10216,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,[]
10794,16,0,0,4,0,1,1,5,1,1,1,2,0,0,0,0,0,4,11,1,0,0.0,0.25,0.6875,0.0625,0.0,tech_debt,refactor,"['bump', 'version', 'ruff']"
11158,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,docs,docs,['exit_codes.md']
11518,11,0,4,2,0,1,1,0,0,1,0,0,0,0,0,2,4,2,2,1,2,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,feature_work,feat,"['tags', 'bump']"
