log_name,discovery_method,n_cases,avg_cycle_time_days,avg_trace_length,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
anomaly,heuristics_dep_0.5,375,129.70944033950616,12.901333333333334,0.525526559222766,0.8394576081701893,0.4793913713405239,0.6102726547390475,845.0,57.0,0.4228187919463087,ok,
normal,heuristics_dep_0.5,1205,63.01277076609805,12.955186721991701,0.5334947196849602,0.890143700627271,0.3405447348001631,0.49262468345023086,1172.0,75.0,0.41867179980750724,ok,
whole,heuristics_dep_0.5,1580,78.84267651928036,12.942405063291138,0.5315136776887028,0.8930455124192049,0.36249985340510615,0.5156784870509398,1306.0,79.0,0.41724137931034483,ok,
anomaly,inductive_IMf_noise_0.2,375,129.70944033950616,12.901333333333334,0.8363294804631286,0.9628827751934208,0.3340122199592668,0.4959763350232212,336.0,9.0,0.649122807017544,ok,
normal,inductive_IMf_noise_0.2,1205,63.01277076609805,12.955186721991701,0.852848053959254,0.9692533885300758,0.37836822127851477,0.5442695158893855,387.0,7.0,0.6329588014981274,ok,
whole,inductive_IMf_noise_0.2,1580,78.84267651928036,12.942405063291138,0.8717334810237208,0.9582048064173376,0.449842126828798,0.6122535803016491,341.0,6.0,0.6340425531914894,ok,
anomaly,split_miner_eps_0.2_eta_0.5,375,129.70944033950616,12.901333333333334,0.7542709419520444,0.7793424944022307,0.48228276353276356,0.5958400873394557,373.0,45.0,0.45859872611464975,ok,
normal,split_miner_eps_0.2_eta_0.5,1205,63.01277076609805,12.955186721991701,0.7136357429591035,0.763790601556189,0.38615806708558276,0.5129688139966052,587.0,77.0,0.41064638783269963,ok,
whole,split_miner_eps_0.2_eta_0.5,1580,78.84267651928036,12.942405063291138,0.7663258711001849,0.7321684500818013,0.4168114173043519,0.5312123876954956,719.0,147.0,0.3664233576642336,ok,
