log_name,n_cases,variant_entropy,normalized_variant_entropy,sequence_entropy,normalized_sequence_entropy,magnitude,variety,affinity,status,error
anomaly_bug_fixes,23,568.6167345694769,0.5241207301434485,753.7912264597155,0.498679695404327,270,20,0.18735649322546372,ok,
anomaly_docs,33,941.7960119244478,0.5704614843365093,1439.5827834046793,0.5117181008234138,459,17,0.2902363756687129,ok,
anomaly_feature_work,14,343.9937094721859,0.48471201399739006,413.2713599449556,0.48008701485591115,168,18,0.13339386071650408,ok,
anomaly_other,204,7997.8430307272065,0.66017041501443,11340.144201881305,0.5861008067548259,2476,24,0.13671343915678721,ok,
anomaly_tech_debt,101,4361.712864850897,0.6207533019763827,6116.1753267556805,0.5727142337693764,1465,23,0.1836144187732543,ok,
normal_bug_fixes,90,3573.5028981854794,0.6108801511433021,5022.912098129561,0.5479901548735107,1281,27,0.1777338527728676,ok,
normal_docs,107,2594.8358588627416,0.6620113813519718,4777.69150644664,0.5282824699282774,1266,27,0.2980178832228972,ok,
normal_feature_work,36,1806.3235899208703,0.5457034395921965,2174.1096607359063,0.5229077183136871,643,24,0.1410408026852534,ok,
normal_other,472,23765.03733201486,0.6831436992955365,34374.84239702164,0.609773160021008,6429,41,0.1260811171163657,ok,
normal_tech_debt,500,10209.498421065471,0.6951545473464068,26715.518327614343,0.5125820374902833,5992,30,0.3372561379930967,ok,
