log_name,discovery_method,n_cases,avg_cycle_time_days,avg_trace_length,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
anomaly_bug_fixes,heuristics_dep_0.5,23,46.44838214573269,11.73913043478261,0.37400100941760317,0.8691537773569024,0.30348837209302326,0.4498867196821876,299.0,15.0,0.49377593360995853,ok,
anomaly_docs,heuristics_dep_0.5,33,21.724242073512904,13.909090909090908,0.5192327537260637,0.8845392214679659,0.5107033639143731,0.6475392317445658,288.0,15.0,0.5087719298245613,ok,
anomaly_feature_work,heuristics_dep_0.5,14,105.84598792989416,12.0,0.3416130683849762,0.9013996108705202,0.4163568773234201,0.5696104410261277,254.0,8.0,0.5175879396984925,ok,
anomaly_other,heuristics_dep_0.5,204,215.14843523057368,12.137254901960784,0.5302026846653496,0.8848624744976226,0.4555274261603376,0.6014356349833865,556.0,32.0,0.4453781512605042,ok,
anomaly_tech_debt,heuristics_dep_0.5,101,14.690126054272092,14.504950495049505,0.46657201738375986,0.8024024094525232,0.5838845460012027,0.6759211932425869,620.0,56.0,0.4392523364485981,ok,
normal_bug_fixes,heuristics_dep_0.5,90,45.04569328703704,14.233333333333333,0.44748433509446794,0.8590957101072474,0.3876295336787565,0.534216935373858,530.0,26.0,0.4501108647450111,ok,
normal_docs,heuristics_dep_0.5,107,10.12987452405677,11.83177570093458,0.4797932219911768,0.8733493945424828,0.3816265060240964,0.531154865726166,412.0,17.0,0.4939759036144578,ok,
normal_feature_work,heuristics_dep_0.5,36,220.3163650977366,17.86111111111111,0.4462839490010446,0.8449310997863522,0.35541699142634453,0.5003596400861112,425.0,25.0,0.43869209809264303,ok,
normal_other,heuristics_dep_0.5,472,116.01410754570777,13.620762711864407,0.4985312515430992,0.8714907451870599,0.3938558487593541,0.5425260221565941,1033.0,72.0,0.4127843986998917,ok,
normal_tech_debt,heuristics_dep_0.5,500,16.204663796296295,11.984,0.4871194666113171,0.8401548410514197,0.3854686307881918,0.5284711718911043,674.0,41.0,0.44947735191637633,ok,
whole,heuristics_dep_0.5,1580,78.84267651928036,12.942405063291138,0.5341034932897482,0.8922005622843725,0.36492052723396007,0.5179808091708907,1306.0,79.0,0.41724137931034483,ok,
anomaly_bug_fixes,inductive_IMf_noise_0.2,23,46.44838214573269,11.73913043478261,0.663502637074234,0.9850349578778361,0.17851051733939738,0.3022470606837862,214.0,4.0,0.6438356164383561,ok,
anomaly_docs,inductive_IMf_noise_0.2,33,21.724242073512904,13.909090909090908,0.7760904267663404,0.9816988432960139,0.22196531791907514,0.3620662687722075,137.0,2.0,0.6703296703296703,ok,
anomaly_feature_work,inductive_IMf_noise_0.2,14,105.84598792989416,12.0,0.5868884149677658,0.966546726699011,0.20248328557784145,0.33482383656746584,140.0,4.0,0.6595744680851063,ok,
anomaly_other,inductive_IMf_noise_0.2,204,215.14843523057368,12.137254901960784,0.7525268499165418,0.957408363519817,0.3332285691836253,0.494385076106375,315.0,9.0,0.6255707762557078,ok,
anomaly_tech_debt,inductive_IMf_noise_0.2,101,14.690126054272092,14.504950495049505,0.8068883123366561,0.9960265599597604,0.12689973180256908,0.22511807632318054,196.0,2.0,0.6000000000000001,ok,
normal_bug_fixes,inductive_IMf_noise_0.2,90,45.04569328703704,14.233333333333333,0.8359913467185156,0.9789674343763304,0.1871145269949711,0.31417865037786996,217.0,5.0,0.6375838926174496,ok,
normal_docs,inductive_IMf_noise_0.2,107,10.12987452405677,11.83177570093458,0.7939127281859828,0.9301055059025952,0.31656060381826256,0.4723554418739165,134.0,6.0,0.6170212765957447,ok,
normal_feature_work,inductive_IMf_noise_0.2,36,220.3163650977366,17.86111111111111,0.7433604489726702,0.9949223625785242,0.1327951883507439,0.23431559156654294,178.0,4.0,0.6393442622950819,ok,
normal_other,inductive_IMf_noise_0.2,472,116.01410754570777,13.620762711864407,0.7761597633494115,0.966972457420143,0.3910073085478233,0.5568467329058034,467.0,12.0,0.6426332288401254,ok,
