discovery_method,fitness_mean,fitness_std,fitness_cv,precision_mean,precision_std,precision_cv,f_score_mean,f_score_std,f_score_cv,size_mean,size_std,size_cv,cfc_mean,cfc_std,cfc_cv
alpha_classic,0.5940564339167306,0.03870436522585443,0.06515267408294691,0.1924146960454194,0.017797916200313735,0.09249769672537148,0.2902333785384827,0.022177399836436358,0.07641229946780848,100.1,13.706851490323292,0.13693158331991298,19.4,5.92921205182911,0.30562948720768607
heuristics_dep_0.5,0.8375793082616632,0.01943970857221776,0.023209394478193944,0.5723985253785963,0.08031095224632119,0.14030600828889606,0.6770355385928364,0.05319432835903227,0.07856947726790289,324.4,21.80315981177448,0.06721072691669076,18.9,2.330951164939612,0.12333074946770432
heuristics_dep_0.6,0.8374204494934924,0.018790455694094963,0.02243849634369477,0.5746527952617866,0.08166456551068399,0.14211114290931307,0.6785145415375344,0.054422450097452814,0.08020822954527974,324.4,21.80315981177448,0.06721072691669076,18.9,2.330951164939612,0.12333074946770432
heuristics_dep_0.7,0.8374584699609896,0.018632019695316835,0.022248290946516727,0.5744375691062824,0.08149878159823788,0.1418757859536151,0.678375800857874,0.05419989298417571,0.07989656015977357,324.4,21.80315981177448,0.06721072691669076,18.9,2.330951164939612,0.12333074946770432
inductive_IM,1.0,0.0,0.0,0.2223257922061972,0.03137866588136647,0.14113821689327063,0.3628243441916811,0.041164957965951085,0.11345698993175474,268.0,75.74225299586016,0.28262034699947824,6.4,2.4129281427805145,0.37702002230945536
inductive_IMf_noise_0.2,0.9811576602244647,0.004783449466212762,0.004875311746654889,0.4456293106096941,0.06700830590875674,0.15036781538691513,0.6101102788498867,0.06763354043304415,0.11085461559595344,228.4,30.667391295786622,0.13427053982393442,5.0,0.816496580927726,0.16329931618554522
inductive_IMf_noise_0.3,0.9757830035037853,0.01153691817661052,0.01182324157644109,0.4504145130605305,0.10612608336678696,0.23561870297133353,0.6091612531372878,0.1023374521700367,0.1679973104707182,214.3,34.19892785843829,0.15958435771553098,2.8,1.7511900715418263,0.6254250255506523
inductive_IMf_noise_0.4,0.950487650686734,0.018272941863133517,0.0192248072344035,0.37165023087652116,0.10936020174139396,0.2942557078021251,0.5265527376939194,0.10667894245071297,0.20259878035754225,210.4,31.60942194276187,0.150234895165218,2.7,2.0575065816014617,0.7620394746672081
split_miner_eps_0.1_eta_0.4,0.9041166993663652,0.05889154550909202,0.06513710625007277,0.5744337787246747,0.0337330911126593,0.058724072925432115,0.7011579739969671,0.028601854477311093,0.040792311487617514,278.4,70.59461735854936,0.2535726198223756,50.6,43.891786120969016,0.867426603181206
split_miner_eps_0.1_eta_0.5,0.9158698934466182,0.062347130343741446,0.0680742218844159,0.5888648983922606,0.04044412819054279,0.06868150623507155,0.7149186114237669,0.029897823896114076,0.04181989868269376,253.5,67.32714493014275,0.26559031530628296,40.9,39.079548501884084,0.9554901834201489
split_miner_eps_0.1_eta_0.6,0.9232385591649303,0.036652192127611984,0.039699589844648504,0.6411207433965209,0.048278997243831785,0.07530406361219878,0.7557069979888537,0.03759031122660014,0.049741912310774405,195.9,56.62047136661596,0.28902741892095946,17.0,26.465910988372276,1.5568182934336632
split_miner_eps_0.2_eta_0.4,0.8473114512753961,0.09057010647772544,0.10689116303266862,0.5513861077180244,0.03193318653098651,0.05791438355809462,0.6663054884650095,0.04137720950253803,0.062099457709496146,297.2,81.0744513806086,0.27279425094417425,66.9,51.861889240130424,0.7752150858016505
split_miner_eps_0.2_eta_0.5,0.8830911770248073,0.06737329442711995,0.0762925688535413,0.5570878949902622,0.03114709521814581,0.05591055827678721,0.6822883333861502,0.036344981587617876,0.053269240890050425,291.6,88.95342101971747,0.3050528841554096,68.4,53.40453580403489,0.7807680673104516
split_miner_eps_0.2_eta_0.6,0.9037547330742346,0.0724803017216909,0.08019908396511531,0.5940167696705981,0.06999569421771419,0.1178345423758476,0.715311913362115,0.06515203887384655,0.0910819988550427,199.9,66.17392907247452,0.3310351629438446,21.1,34.41398294621275,1.6309944524271447
split_miner_eps_0.3_eta_0.4,0.858547309117545,0.08703677701996909,0.10137679787201194,0.5557455613040075,0.03489217157844203,0.06278443591446893,0.6733054301155241,0.04409809866408906,0.0654949398767255,284.1,73.98265562504048,0.2604106146604733,56.2,40.80250536970058,0.7260232272188716
split_miner_eps_0.3_eta_0.5,0.8948766986751797,0.06472577283954407,0.0723292638364228,0.5559516085302679,0.03155278173649406,0.05675454707273544,0.6848608527985076,0.034431412880520464,0.05027504892391704,271.3,82.08132823270127,0.3025482057969085,53.0,46.2144758466195,0.8719712423890473
split_miner_eps_0.3_eta_0.6,0.902914702512185,0.07636633300332686,0.08457757171397516,0.5934254836685036,0.06983519911204372,0.11768149672361346,0.7146092440718763,0.06607898809421275,0.09246870040148329,203.0,71.67209281783872,0.3530644966395996,23.0,38.398495340891216,1.669499797430053
