,Open issues (weekly created),Closed issues (weekly closed)
count,242.0,242.0
mean,4.17,4.28
std,4.13,7.01
min,0.0,0.0
25%,1.0,1.0
50%,3.0,2.0
75%,5.0,5.0
max,20.0,51.0
