week_start,event_id
2020-09-14,375253
2020-09-14,375290
2020-09-14,375447
2020-09-14,375479
2020-09-14,375528
2020-09-14,375631
2020-09-14,375668
2020-09-14,375712
2020-09-14,375744
2020-09-14,375792
2020-09-21,373596
2020-09-21,373620
2020-09-21,373687
2020-09-21,373778
2020-09-21,374008
2020-09-21,374055
2020-09-21,374126
2020-09-21,374253
2020-09-21,374309
2020-09-21,374434
2020-09-21,374457
2020-09-21,374568
2020-09-21,374591
2020-09-21,374661
2020-09-21,374695
2020-09-21,374754
2020-09-21,374843
2020-09-21,375062
2020-09-21,375144
2020-09-21,375227
2020-09-21,375606
2020-10-05,372312
2020-10-05,372352
2020-10-05,372464
2020-10-05,372491
2020-10-05,372538
2020-10-05,372633
2020-10-05,372696
2020-10-05,372722
2020-10-05,372761
2020-10-05,373265
2020-10-05,373981
2021-07-05,340689
2021-07-05,340724
2021-07-05,340759
2021-07-05,340826
2021-07-05,340853
2021-07-05,340880
2021-07-05,340915
2021-07-05,340958
2021-07-05,341078
2021-07-05,341159
2021-07-05,342315
2021-07-05,342366
2021-07-05,347934
2021-07-05,351341
2021-07-05,352463
2021-07-05,353156
2021-07-05,355823
2021-07-05,356879
2021-07-05,358592
2021-07-05,358630
2021-07-05,369112
2022-11-14,290700
2022-11-14,291408
2022-11-14,291496
2022-11-14,291713
2022-11-14,291739
2022-11-14,291765
2022-11-14,291800
2022-11-14,291829
2022-11-14,291901
2022-11-14,291932
2022-11-14,291956
2022-11-14,291975
2022-11-14,292019
2022-11-14,292045
2022-11-14,293805
2022-11-14,295276
2022-11-14,295309
2022-11-14,295342
2022-11-14,296756
2022-11-14,324922
2022-12-05,286710
2022-12-05,287458
2022-12-05,287485
2022-12-05,287515
2022-12-05,287760
2022-12-05,287792
2022-12-05,287821
2022-12-05,287876
2022-12-05,287918
2022-12-05,288057
2022-12-05,288097
2022-12-05,288188
2022-12-05,288217
2022-12-05,288371
2022-12-05,288679
2022-12-05,289216
2022-12-05,290475
2022-12-05,304762
2023-10-16,245451
2023-10-16,245473
2023-10-16,245535
2023-10-16,245617
2023-10-16,245688
2023-10-16,245762
2023-10-16,245802
2023-10-16,245833
2023-10-16,245870
2023-10-16,245901
2023-10-16,245945
2023-10-16,245969
2023-10-16,246007
2023-10-16,246121
2023-10-16,246199
2023-10-16,246236
2023-10-16,246298
2023-10-16,247567
2023-10-16,248922
2023-10-23,242576
2023-10-23,242607
2023-10-23,242657
2023-10-23,242808
2023-10-23,242919
2023-10-23,242982
2023-10-23,243032
2023-10-23,243081
2023-10-23,243149
2023-10-23,243245
2023-10-23,243332
2023-10-23,243357
2023-10-23,243390
2023-10-23,243426
2023-10-23,245523
2023-10-23,246160
2023-10-23,248271
2023-10-23,249101
2023-10-23,267136
2024-05-20,208975
2024-05-20,209018
2024-05-20,209043
2024-05-20,209130
2024-05-20,209180
2024-05-20,209244
2024-05-20,209302
2024-05-20,209343
2024-05-20,209388
2024-05-20,209630
2024-05-20,209656
2024-05-20,209692
2024-05-20,209757
2024-05-20,209832
2024-05-20,209861
2024-05-20,209883
2024-05-20,209976
2024-05-20,210044
2024-05-20,210124
2024-05-20,210180
2024-05-20,217290
2024-05-20,222478
2024-05-20,226073
2024-06-24,204297
2024-06-24,204330
2024-06-24,204372
2024-06-24,204418
2024-06-24,204460
2024-06-24,204503
2024-06-24,204547
2024-06-24,204651
2024-06-24,204683
2024-06-24,204768
2024-06-24,204815
2024-06-24,204864
2024-06-24,204890
2024-06-24,204948
2024-06-24,204991
2024-06-24,205017
2024-06-24,205043
2024-06-24,205157
2024-06-24,205183
2024-06-24,205235
2024-06-24,205280
2024-06-24,205330
2024-06-24,205356
2024-06-24,205386
2024-06-24,205422
2024-06-24,205458
2024-06-24,205498
2024-06-24,208250
2024-07-01,203265
