week_start,object_id
2021-07-05,340883
2020-10-05,372702
2020-09-14,375233
2020-09-14,375680
2025-02-24,154944
2025-02-24,155561
2025-01-20,162930
2025-01-20,164198
2025-01-06,167946
2024-07-01,203654
2024-06-24,204771
2024-05-20,209136
2024-05-20,226052
2023-10-16,246205
2023-10-23,248233
2021-07-05,358567
2020-09-14,375756
2021-07-05,356839
2021-07-05,369026
2020-09-21,373984
2020-09-14,375640
2021-07-05,340608
2020-10-05,373173
2020-09-21,374011
2020-09-21,374351
2020-09-21,374437
2020-09-21,374613
2020-09-21,375068
2021-07-05,340856
2020-10-05,372355
2020-09-21,374058
2026-07-20,6287
2026-07-20,6662
2026-07-20,7088
2026-07-20,7122
2026-07-20,8159
2026-05-04,36881
2026-05-04,37390
2026-05-04,37857
2026-05-04,38017
2026-05-04,38872
2026-02-02,70447
2026-02-02,73511
2026-07-20,5365
2026-07-20,5585
2026-07-20,5640
2026-07-20,6834
2026-07-20,6894
2026-07-20,8100
2026-05-04,35279
2026-05-04,36824
2026-05-04,43768
2026-02-02,292051
2022-11-14,295318
2021-07-05,347903
2021-07-05,352383
2020-09-21,374571
2026-07-20,4467
2026-07-20,5232
2026-07-20,5682
2026-05-04,37488
2026-05-04,37773
2026-02-02,70975
2026-02-02,71124
2026-02-02,71214
2024-07-01,203624
2024-07-01,204039
2024-06-24,204352
2024-06-24,205189
2024-05-20,208935
2024-05-20,209027
2023-10-16,246246
2024-07-01,253864
2026-02-02,270759
2022-11-14,295285
2025-02-24,155474
2025-01-20,163274
2025-01-20,163505
2024-06-24,204509
2024-06-24,205163
2024-07-01,239682
2023-10-23,242878
2026-07-20,4983
2026-05-04,37247
2026-05-04,37700
2026-02-02,70246
2026-02-02,71508
2026-02-02,72080
2026-02-02,73724
2026-02-02,74112
2024-07-01,203440
2024-06-24,204553
2024-06-24,204663
2024-06-24,204689
2024-06-24,204870
2024-06-24,205023
2024-06-24,205121
2024-06-24,205428
2024-05-20,208981
2023-10-23,243399
2026-02-02,273758
2022-12-05,288037
2026-02-02,119292
2025-12-01,138261
2025-02-24,155426
2025-02-24,155988
2025-02-24,156018
2025-01-20,162626
2025-01-20,162982
2025-01-20,163831
2025-01-20,164011
2025-01-06,167465
2025-01-06,167581
2025-01-06,167783
2025-02-24,155070
2025-02-24,155151
2025-02-24,155322
2025-02-24,156857
2025-01-20,164237
2025-01-06,168598
2026-02-02,271797
2022-12-05,287495
2022-12-05,287801
2021-07-05,340918
2021-07-05,341206
2021-07-05,353090
2021-07-05,358595
2026-07-20,4647
2026-07-20,4821
2026-07-20,5486
2026-07-20,6209
2026-07-20,6430
2026-07-20,5976
2026-07-20,7184
2026-05-04,36712
2026-05-04,36899
2026-05-04,37443
2026-05-04,37600
2026-05-04,37665
2026-05-04,39275
2026-05-04,40094
2026-02-02,69852
2026-02-02,70180
2026-02-02,70946
2026-02-02,71347
2026-02-02,71448
2026-02-02,71598
2026-07-20,6612
2026-07-20,6713
2026-07-20,7831
2026-07-20,7880
2026-07-20,7994
2026-07-20,8584
2026-05-04,37309
2026-05-04,38938
2026-05-04,43866
2022-12-05,287882
2022-12-05,288063
2020-10-05,372515
2020-09-21,374701
2020-09-21,375150
2020-09-14,375724
2023-10-23,242933
2023-10-23,243004
2023-10-16,245526
2023-10-23,249076
2026-05-04,276742
2022-12-05,287827
2022-11-14,291502
2022-11-14,291719
2026-05-04,296968
2026-02-02,70421
2026-02-02,71234
2025-12-01,89006
2025-12-01,90228
2025-12-01,90441
2025-12-01,139724
2025-02-24,154506
2025-02-24,154564
2025-02-24,154584
2025-01-06,167737
2025-01-06,168139
2024-07-01,204081
2023-10-23,243338
2023-10-16,245885
2022-11-14,291476
2026-07-20,302450
2022-12-05,304686
2024-05-20,209349
2024-05-20,210130
2023-10-23,242537
2023-10-16,247530
2023-10-23,267111
2022-11-14,291935
2022-11-14,291959
2022-11-14,295251
2026-07-20,4859
2026-07-20,5793
2026-07-20,7009
2026-07-20,7730
2026-07-20,19862
2026-05-04,35399
2026-05-04,36536
2024-06-24,208152
2024-05-20,209186
2024-05-20,209394
2023-10-16,245697
2023-10-16,245948
