,Open issues (weekly created),Closed issues (weekly closed)
count,313.0,313.0
mean,13.48,13.69
std,11.23,12.1
min,1.0,0.0
25%,6.0,6.0
50%,10.0,10.0
75%,17.0,18.0
max,60.0,76.0
