week_start,object_id
2026-04-20,611
2026-01-19,1984
2025-05-26,7025
2025-09-15,7368
2025-05-19,7442
2025-04-21,8843
2023-10-23,20796
2023-04-03,26113
2023-04-03,43009
2023-04-03,43931
2023-10-23,49093
2022-03-07,53784
2025-05-26,54380
2023-10-23,55901
2023-10-23,56036
2022-01-17,57873
2022-01-17,58574
2022-01-17,60102
2023-10-23,68768
2021-02-01,99487
2021-02-01,100068
2021-02-01,100252
2020-12-14,104539
2021-05-10,104539
2020-12-14,105384
2020-12-07,105899
2021-05-10,106249
2021-02-01,99393
2021-02-01,99935
2021-02-01,99961
2021-05-10,100526
2021-05-10,101571
2021-05-10,103542
2021-05-10,104672
2020-12-14,105225
2020-12-07,106046
2021-05-10,107530
2020-12-07,113575
2026-04-20,579
2026-04-20,966
2025-09-01,6183
2026-02-02,6656
2025-05-26,6840
2025-03-10,11649
2025-03-10,13963
2026-04-20,1258
2025-09-08,4155
2025-05-19,7259
2025-04-21,7851
2025-03-10,12022
2023-10-23,19919
2023-10-23,26364
2023-10-23,27148
2023-04-03,43296
2023-04-03,43586
2023-10-23,47208
2022-01-17,59204
2022-01-17,60143
2022-01-17,60228
2021-12-20,63136
2021-12-20,63174
2021-12-20,63192
2022-03-07,66631
2022-01-17,70553
2022-01-17,70593
2021-05-10,89562
2021-05-10,89136
2021-05-10,89453
2021-05-10,104341
2021-05-10,107238
2021-02-01,99315
2021-02-01,99748
2023-10-23,100094
2021-05-10,102935
2021-05-10,103494
2020-12-14,104727
2021-05-10,106306
2020-12-07,106694
2020-12-07,107283
2020-12-07,107628
2023-10-23,95999
2021-02-01,99616
2021-05-10,100981
2021-05-10,103748
2020-12-07,105934
2021-05-10,107447
2023-04-03,43122
2022-01-17,58184
2021-12-20,62578
2021-12-20,62877
2022-01-17,64480
2021-05-10,89200
2021-05-10,103586
2020-12-14,105832
2021-05-10,106006
2020-12-07,107559
2020-12-07,107599
2021-05-10,107694
2026-04-20,722
2021-05-10,89738
2023-10-23,96516
2021-05-10,101672
2021-05-10,103277
2020-12-14,105160
2020-12-14,105425
2020-12-07,106069
2020-12-07,106752
2026-04-20,942
2026-02-02,1559
2026-01-19,1899
2025-09-08,4215
2025-09-08,4554
2025-05-26,6987
2023-04-03,25482
2023-10-23,27129
2023-04-03,43757
2022-03-07,53753
2022-01-17,58442
2022-01-17,59847
2021-12-20,63529
2023-10-23,66433
2022-01-17,71128
2022-03-07,93615
2021-02-01,99780
2021-02-01,99990
2021-02-01,100042
2021-05-10,104015
2020-12-14,104923
2020-12-14,104956
2021-05-10,89313
2021-05-10,89659
2023-10-23,91343
2023-10-23,92593
2021-02-01,99227
2021-02-01,100127
2023-10-23,101388
2022-03-07,103810
2021-05-10,105073
2021-05-10,105978
2020-12-14,106405
2026-02-02,1651
2026-01-19,1807
2025-09-15,4049
2025-09-08,4106
2025-09-15,4888
2025-09-15,6818
2025-03-10,14039
2026-04-20,894
2025-09-15,4308
2025-05-26,6895
2025-05-19,7305
2025-09-08,11281
2025-03-10,13012
2023-10-23,31176
2023-10-23,35885
2023-10-23,36905
2023-04-03,44102
2022-03-07,53829
2022-03-07,54807
2022-03-07,54886
2021-12-20,62624
2021-12-20,62942
2025-09-01,4455
2025-09-01,4825
2025-04-21,8912
2025-03-10,11679
2023-10-23,19274
2023-10-23,21368
2025-05-26,23978
2023-10-23,26494
2023-10-23,26655
2023-10-23,41599
2023-04-03,43412
2023-04-03,43470
2022-03-07,54126
2022-03-07,54301
2022-01-17,58018
2022-01-17,58615
2022-01-17,58699
2021-12-20,63574
2022-03-07,66267
2022-03-07,66589
2026-04-20,999
2026-01-19,1853
2025-09-08,3943
2025-09-15,4917
2025-09-15,6479
2025-05-26,7164
2023-10-23,18459
2023-10-23,19401
2023-10-23,27172
2023-04-03,43064
2023-04-03,43354
2023-04-03,43528
2023-04-03,43641
2023-10-23,50794
2022-03-07,53931
2022-03-07,54735
2022-01-17,58533
2022-01-17,58745
2022-01-17,59312
2022-01-17,59970
2023-10-23,62726
2023-10-23,69234
2022-03-07,73172
2021-12-20,73614
2026-04-20,1032
2026-02-02,1965
2025-09-08,4368
2025-04-21,7768
2025-09-01,8554
2025-09-15,11304
2025-03-10,11712
2023-10-23,16952
2023-10-23,27105
2025-05-26,27551
2023-10-23,51323
2026-04-20,864
2026-01-19,3853
2026-02-02,5804
2025-05-19,8105
2025-09-15,8136
2023-10-23,18311
2023-10-23,18335
2023-10-23,27495
2023-10-23,51026
2022-03-07,54458
2022-03-07,54614
2022-01-17,58659
2023-10-23,59370
2023-10-23,84879
2021-05-10,95861
2020-12-14,106106
2026-01-19,1775
2025-09-01,4769
2025-09-15,8166
2025-03-10,12600
2023-10-23,16533
2023-04-03,43699
2022-03-07,53897
2022-03-07,55481
2023-10-23,56063
2022-01-17,59888
2022-01-17,60791
2023-10-23,65384
2026-04-20,1217
2025-05-19,7136
2025-05-26,8773
2025-03-10,12373
2023-10-23,36286
2023-10-23,39292
2023-10-23,42749
2022-01-17,57924
2022-01-17,60011
2026-02-02,2241
2025-09-15,4278
2026-02-02,5677
2025-04-21,8434
2025-03-10,11451
2025-03-10,14280
2025-09-15,25828
2023-04-03,43238
2023-04-03,43815
2022-03-07,54526
2022-01-17,58056
2022-01-17,58489
2022-01-17,60052
2021-12-20,62691
2021-12-20,62753
2021-12-20,62835
2021-12-20,68815
2022-01-17,71035
2023-10-23,75148
2021-12-20,79718
2021-05-10,89363
2022-01-17,58886
2022-01-17,60178
2021-12-20,62907
2021-12-20,63210
2023-10-23,65549
2021-02-01,99815
2021-05-10,99846
2021-05-10,101942
2020-12-14,105631
2020-12-07,107370
2022-03-07,54169
2022-03-07,54558
2022-01-17,59929
2021-12-20,63068
2023-10-23,66082
2023-10-23,67943
2021-02-01,99912
2021-02-01,100217
2021-02-01,101443
2020-12-14,104618
2020-12-14,105024
2020-12-14,105470
2021-05-10,107487
2025-04-21,15324
2023-10-23,25267
2023-10-23,32409
2023-04-03,43986
2023-10-23,52493
2022-03-07,54642
2023-10-23,55076
2022-03-07,55396
2022-01-17,58407
2021-12-20,62656
2023-10-23,66982
2021-02-01,99359
2020-12-14,104763
2020-12-14,105279
2025-09-01,6787
2023-04-03,26741
2023-10-23,31303
2023-10-23,41341
2023-04-03,42951
2023-04-03,43180
2023-04-03,44044
2026-04-20,918
2025-09-01,4596
2025-09-15,7528
2025-04-21,7882
2025-05-19,8289
2025-09-15,11319
2025-03-10,11816
2021-05-10,99280
2021-02-01,99886
2021-05-10,100336
2021-02-01,100368
2020-12-14,105195
2020-12-07,106152
2021-05-10,106223
2020-12-07,107798
2023-10-23,35911
2023-10-23,50716
2022-03-07,53954
2022-03-07,54028
2022-03-07,54698
2023-10-23,55348
2022-01-17,61993
2021-12-20,63101
2023-10-23,67092
2023-10-23,73447
2021-05-10,89411
2021-02-01,99446
2021-02-01,99587
2021-02-01,99690
2026-01-19,1739
2025-09-01,5280
2025-05-19,7087
2023-04-03,43873
2023-10-23,57838
2021-12-20,62792
2021-12-20,63257
2022-03-07,66499
2023-10-23,72206
2023-10-23,93196
2021-02-01,100019
2021-05-10,102428
2020-12-07,106339
2020-12-07,106373
2023-10-23,106482
2020-12-07,106783
2020-12-07,107997
