week_start,event_id
2020-12-07,105931
2020-12-07,105960
2020-12-07,106063
2020-12-07,106100
2020-12-07,106177
2020-12-07,106367
2020-12-07,106395
2020-12-07,106736
2020-12-07,106780
2020-12-07,106795
2020-12-07,107364
2020-12-07,107438
2020-12-07,107590
2020-12-07,107619
2020-12-07,107688
2020-12-07,107815
2020-12-07,108317
2020-12-07,113620
2020-12-14,104560
2020-12-14,104638
2020-12-14,104757
2020-12-14,104793
2020-12-14,104953
2020-12-14,105014
2020-12-14,105055
2020-12-14,105189
2020-12-14,105219
2020-12-14,105261
2020-12-14,105368
2020-12-14,105419
2020-12-14,105461
2020-12-14,105490
2020-12-14,105678
2020-12-14,105893
2020-12-14,106146
2020-12-14,106473
2021-02-01,99255
2021-02-01,99350
2021-02-01,99387
2021-02-01,99440
2021-02-01,99478
2021-02-01,99544
2021-02-01,99578
2021-02-01,99607
2021-02-01,99687
2021-02-01,99742
2021-02-01,99774
2021-02-01,99809
2021-02-01,99843
2021-02-01,99906
2021-02-01,99932
2021-02-01,99955
2021-02-01,99981
2021-02-01,100010
2021-02-01,100039
2021-02-01,100062
2021-02-01,100088
2021-02-01,100144
2021-02-01,100240
2021-02-01,100327
2021-02-01,100403
2021-02-01,101470
2021-05-10,89172
2021-05-10,89226
2021-05-10,89357
2021-05-10,89405
2021-05-10,89447
2021-05-10,89473
2021-05-10,89624
2021-05-10,89716
2021-05-10,89831
2021-05-10,95905
2021-05-10,99309
2021-05-10,99877
2021-05-10,100359
2021-05-10,100552
2021-05-10,101009
2021-05-10,101594
2021-05-10,101706
2021-05-10,101986
2021-05-10,102515
2021-05-10,102993
2021-05-10,103322
2021-05-10,103536
2021-05-10,103580
2021-05-10,103609
2021-05-10,103771
2021-05-10,104060
2021-05-10,104370
2021-05-10,104612
2021-05-10,104721
2021-05-10,105107
2021-05-10,106003
2021-05-10,106040
2021-05-10,106243
2021-05-10,106297
2021-05-10,106327
2021-05-10,107277
2021-05-10,107481
2021-05-10,107516
2021-05-10,107553
2021-05-10,107784
2021-12-20,62606
2021-12-20,62644
2021-12-20,62679
2021-12-20,62711
2021-12-20,62773
2021-12-20,62812
2021-12-20,62859
2021-12-20,62901
2021-12-20,62927
2021-12-20,62994
2021-12-20,63084
2021-12-20,63098
2021-12-20,63124
2021-12-20,63148
2021-12-20,63186
2021-12-20,63204
2021-12-20,63245
2021-12-20,63269
2021-12-20,63559
2021-12-20,63596
2021-12-20,68837
2021-12-20,73654
2021-12-20,79765
2022-01-17,57912
2022-01-17,57955
2022-01-17,58044
2022-01-17,58079
2022-01-17,58204
2022-01-17,58427
2022-01-17,58477
2022-01-17,58521
2022-01-17,58562
2022-01-17,58606
2022-01-17,58650
2022-01-17,58687
2022-01-17,58733
2022-01-17,58768
2022-01-17,58915
2022-01-17,59262
2022-01-17,59331
2022-01-17,59876
2022-01-17,59917
2022-01-17,59958
2022-01-17,59999
2022-01-17,60046
2022-01-17,60093
2022-01-17,60131
2022-01-17,60172
2022-01-17,60219
2022-01-17,60266
2022-01-17,60848
2022-01-17,62053
2022-01-17,64825
2022-01-17,70587
2022-01-17,70622
2022-01-17,71069
2022-01-17,71181
2022-03-07,53770
2022-03-07,53808
2022-03-07,53885
2022-03-07,53922
2022-03-07,53948
2022-03-07,54019
2022-03-07,54085
2022-03-07,54154
2022-03-07,54289
2022-03-07,54374
2022-03-07,54523
2022-03-07,54546
2022-03-07,54611
2022-03-07,54639
2022-03-07,54685
2022-03-07,54723
2022-03-07,54766
2022-03-07,54827
2022-03-07,54926
2022-03-07,55438
2022-03-07,55525
2022-03-07,66303
2022-03-07,66586
2022-03-07,66617
2022-03-07,66746
2022-03-07,73209
2022-03-07,93963
2022-03-07,103950
2023-04-03,25505
2023-04-03,26193
2023-04-03,26765
2023-04-03,42996
2023-04-03,43054
2023-04-03,43109
2023-04-03,43167
2023-04-03,43225
2023-04-03,43283
2023-04-03,43341
2023-04-03,43399
2023-04-03,43457
2023-04-03,43515
2023-04-03,43573
2023-04-03,43631
2023-04-03,43686
2023-04-03,43744
2023-04-03,43802
2023-04-03,43860
2023-04-03,43918
2023-04-03,43976
2023-04-03,44031
2023-04-03,44089
2023-04-03,44147
2023-10-23,16545
2023-10-23,16980
2023-10-23,18332
2023-10-23,18358
2023-10-23,18484
2023-10-23,19297
2023-10-23,19429
2023-10-23,19944
2023-10-23,20823
2023-10-23,21436
2023-10-23,25283
2023-10-23,26385
2023-10-23,26515
2023-10-23,26676
2023-10-23,27126
2023-10-23,27145
2023-10-23,27169
2023-10-23,27206
2023-10-23,27515
2023-10-23,31200
2023-10-23,31328
2023-10-23,32438
2023-10-23,35901
2023-10-23,35935
2023-10-23,36307
2023-10-23,36930
2023-10-23,39338
2023-10-23,41362
2023-10-23,41623
2023-10-23,42878
2023-10-23,47229
2023-10-23,49109
2023-10-23,50746
2023-10-23,50810
2023-10-23,51046
2023-10-23,51354
2023-10-23,52520
2023-10-23,55113
2023-10-23,55364
2023-10-23,55926
2023-10-23,56060
2023-10-23,56101
2023-10-23,57867
2023-10-23,59391
2023-10-23,62747
2023-10-23,65411
2023-10-23,65582
2023-10-23,66146
2023-10-23,66455
2023-10-23,67009
2023-10-23,67143
2023-10-23,67965
2023-10-23,68809
2023-10-23,69262
2023-10-23,72255
2023-10-23,73469
2023-10-23,75193
2023-10-23,84940
2023-10-23,91386
2023-10-23,92620
2023-10-23,93212
2023-10-23,96076
2023-10-23,96577
2023-10-23,100121
2023-10-23,101437
2023-10-23,106688
2025-03-10,11492
2025-03-10,11676
2025-03-10,11709
2025-03-10,11733
2025-03-10,11837
2025-03-10,12041
2025-03-10,12394
2025-03-10,12646
2025-03-10,13045
2025-03-10,13992
2025-03-10,14064
2025-03-10,14298
2025-04-21,7830
2025-04-21,7879
2025-04-21,7993
2025-04-21,8527
2025-04-21,8909
2025-04-21,8950
2025-04-21,15426
2025-05-19,7133
2025-05-19,7161
2025-05-19,7290
2025-05-19,7356
2025-05-19,7454
2025-05-19,8133
2025-05-19,8404
2025-05-26,6878
2025-05-26,6972
2025-05-26,7010
2025-05-26,7063
2025-05-26,7240
2025-05-26,8840
2025-05-26,24128
2025-05-26,27600
2025-05-26,54443
2025-09-01,4551
2025-09-01,4763
2025-09-01,4808
2025-09-01,4876
2025-09-01,5304
2025-09-01,6233
2025-09-01,6815
2025-09-01,8615
2025-09-08,4046
2025-09-08,4134
2025-09-08,4200
2025-09-08,4268
2025-09-08,4443
2025-09-08,4579
2025-09-08,11301
2025-09-15,4089
2025-09-15,4305
2025-09-15,4365
2025-09-15,4914
2025-09-15,4950
2025-09-15,6511
2025-09-15,6837
2025-09-15,7395
2025-09-15,7555
2025-09-15,8163
2025-09-15,8202
2025-09-15,11316
2025-09-15,11331
2025-09-15,25912
2026-01-19,1772
2026-01-19,1795
2026-01-19,1838
2026-01-19,1896
2026-01-19,1956
2026-01-19,2012
2026-01-19,3891
2026-02-02,1596
2026-02-02,1691
2026-02-02,1981
2026-02-02,2406
2026-02-02,5798
2026-02-02,5880
2026-02-02,6728
2026-04-20,608
2026-04-20,660
2026-04-20,756
2026-04-20,891
2026-04-20,915
2026-04-20,939
2026-04-20,963
2026-04-20,996
2026-04-20,1029
2026-04-20,1062
2026-04-20,1255
2026-04-20,1285
