,Open issues (weekly created),Closed issues (weekly closed)
count,286.0,286.0
mean,6.36,6.52
std,6.36,7.12
min,0.0,0.0
25%,2.0,2.0
50%,4.0,4.5
75%,9.0,9.0
max,34.0,66.0
