seed,discovery_method,fitness,precision,f_score,generalization,size,cfc,simplicity,status,error
0,alpha_classic,0.601092446618453,0.17803886127428825,0.27471060046596874,0.7962924105694685,122.0,22.0,0.5909090909090908,ok,
0,inductive_IM,0.9915175635860478,0.17030570422270408,0.2906829318957966,0.8440470681194225,466.0,10.0,0.6196319018404908,ok,
0,heuristics_dep_0.6,0.8447608537160558,0.4944730217795775,0.6238065802561693,0.5358079776955702,866.0,57.0,0.45108695652173914,ok,
0,heuristics_dep_0.7,0.844685083291506,0.49357270310622336,0.6230690440530531,0.5371327413177237,866.0,57.0,0.45108695652173914,ok,
0,heuristics_dep_0.8,0.8452568453622894,0.49402245225251495,0.6235829378872454,0.5373727023468532,866.0,57.0,0.45108695652173914,ok,
0,heuristics_dep_0.9,0.8452511439811542,0.49357270310622336,0.6232229771616519,0.5410223261716157,866.0,57.0,0.45108695652173914,ok,
0,inductive_IMf_noise_0.3,0.9817565039015191,0.20258348857944375,0.3358624360548645,0.8018931551079476,389.0,8.0,0.6236162361623616,ok,
0,inductive_IMf_noise_0.4,0.9932454681615119,0.15845567196060983,0.2733094074434525,0.8020033649703966,404.0,8.0,0.6285714285714286,ok,
0,inductive_IMf_noise_0.5,0.9518720844707983,0.20577536736221458,0.338396335695592,0.815675952282039,392.0,8.0,0.6417910447761194,ok,
0,inductive_IMf_noise_0.6,0.9364599288361626,0.22366430585161245,0.3610866037935339,0.7985734040398039,362.0,8.0,0.632,ok,
1,alpha_classic,0.5576849969739914,0.24247417646969072,0.337993276484727,0.804894577132872,116.0,18.0,0.5764705882352942,ok,
1,inductive_IM,0.9995937106766963,0.17089545209327017,0.29188825412346947,0.8202520897901417,353.0,8.0,0.5968379446640316,ok,
1,heuristics_dep_0.6,0.8491473294421445,0.46493867160379543,0.6008760933949543,0.5307736195405004,849.0,57.0,0.44951590594744123,ok,
1,heuristics_dep_0.7,0.8507446396343258,0.46416881666602483,0.6006313659228821,0.539150321859295,849.0,57.0,0.44951590594744123,ok,
1,heuristics_dep_0.8,0.8499394706059439,0.4660633484162896,0.6020133542207592,0.5352391797490507,849.0,57.0,0.44951590594744123,ok,
1,heuristics_dep_0.9,0.8530489085030728,0.46482567108917006,0.6017553377340503,0.5432559882486988,849.0,57.0,0.44951590594744123,ok,
1,inductive_IMf_noise_0.3,0.950834788026934,0.2304691920601749,0.3710105596412466,0.8289687180764539,234.0,2.0,0.5952380952380952,ok,
1,inductive_IMf_noise_0.4,0.9774011286227207,0.25878350934199834,0.40921928057002177,0.8266263052367588,248.0,3.0,0.5955056179775281,ok,
1,inductive_IMf_noise_0.5,0.9737465140664068,0.2568013399654857,0.4064196427301121,0.8122753768637518,285.0,3.0,0.6119402985074627,ok,
1,inductive_IMf_noise_0.6,0.9152501700048938,0.26352760736196323,0.40922672970268575,0.846418305516872,332.0,8.0,0.6206896551724138,ok,
2,alpha_classic,0.5068182814631151,0.1818860858038589,0.26770033068029014,0.7542020211185192,112.0,20.0,0.6363636363636362,ok,
2,inductive_IM,0.9901648517749313,0.1653685414881445,0.2834052539294581,0.8438788916309657,406.0,9.0,0.6000000000000001,ok,
2,heuristics_dep_0.6,0.8489681725044276,0.5121372422998962,0.6388751582908168,0.540621629748336,847.0,56.0,0.4455172413793103,ok,
2,heuristics_dep_0.7,0.8512288672170631,0.5092560766020133,0.6372631688116435,0.5433759806954986,847.0,56.0,0.4455172413793103,ok,
2,heuristics_dep_0.8,0.8506694275979965,0.5121372422998962,0.6393562702353234,0.5453661022966341,847.0,56.0,0.4455172413793103,ok,
2,heuristics_dep_0.9,0.8505469964883475,0.5092560766020133,0.6370719922155951,0.5433322042697188,847.0,56.0,0.4455172413793103,ok,
2,inductive_IMf_noise_0.3,0.9973279622107529,0.1797863282040184,0.30465339483371073,0.8108967905167902,288.0,3.0,0.607843137254902,ok,
2,inductive_IMf_noise_0.4,0.9828979780298384,0.20775842849711412,0.3430130441814369,0.8091795339739126,277.0,3.0,0.6040609137055838,ok,
2,inductive_IMf_noise_0.5,0.9746305450287329,0.25760287850840924,0.4075001198408146,0.8092920050793376,281.0,4.0,0.6080402010050251,ok,
2,inductive_IMf_noise_0.6,0.9134857745530545,0.28859517473609864,0.4386186918309862,0.7894431312651031,316.0,6.0,0.6330275229357799,ok,
3,alpha_classic,0.5356044543668711,0.20533785510208824,0.29686486636629317,0.7887843119893073,103.0,13.0,0.8305084745762713,ok,
3,inductive_IM,0.9933972678189494,0.18813298527914513,0.31635380147546527,0.8591112427496231,515.0,10.0,0.6177285318559557,ok,
3,heuristics_dep_0.6,0.8505022213609299,0.536480271120794,0.6579429297454691,0.5346504320331018,946.0,65.0,0.44913151364764264,ok,
3,heuristics_dep_0.7,0.8495158563425464,0.5364212768017037,0.6576032482638329,0.5274414258026328,946.0,65.0,0.44913151364764264,ok,
3,heuristics_dep_0.8,0.8505666337140666,0.5315043569855405,0.6542064405775668,0.5244843939511392,946.0,65.0,0.44913151364764264,ok,
3,heuristics_dep_0.9,0.8501790565623204,0.5336700336700337,0.6557291383050884,0.5244778410911046,946.0,65.0,0.44913151364764264,ok,
3,inductive_IMf_noise_0.3,0.997204981313649,0.1715505371610102,0.29274052186252975,0.8270441317740458,357.0,5.0,0.6224899598393574,ok,
3,inductive_IMf_noise_0.4,0.9979584733650264,0.18202301735231752,0.30788857951285914,0.8323505263778607,331.0,4.0,0.6137339055793992,ok,
3,inductive_IMf_noise_0.5,0.9639316080412176,0.2507383103923172,0.39795927941592385,0.8475094803364762,307.0,6.0,0.6186046511627906,ok,
3,inductive_IMf_noise_0.6,0.8652157520392653,0.3109706796033874,0.45750694477820797,0.8222437778964434,343.0,9.0,0.6234309623430964,ok,
4,alpha_classic,0.5169036443815259,0.17892507864233342,0.26583273199632484,0.7597323699882829,126.0,17.0,0.6000000000000001,ok,
4,inductive_IM,0.9466953755713112,0.1993409030244544,0.3293353178778811,0.8412159854484422,217.0,5.0,0.5329341317365269,ok,
4,heuristics_dep_0.6,0.8573120582893254,0.5350571854798607,0.6588927169124881,0.5645340136751182,830.0,63.0,0.43732590529247906,ok,
4,heuristics_dep_0.7,0.8597673795329113,0.5350571854798607,0.6596165937987511,0.5587676660058261,830.0,63.0,0.43732590529247906,ok,
4,heuristics_dep_0.8,0.8572754671082511,0.5359099511903576,0.6595280824798346,0.5566408282695292,830.0,63.0,0.43732590529247906,ok,
4,heuristics_dep_0.9,0.8593730712222604,0.5350571854798607,0.6595005157917943,0.5587305702755662,830.0,63.0,0.43732590529247906,ok,
4,inductive_IMf_noise_0.3,0.9928133391755557,0.18842589065793147,0.3167381051467442,0.7951348454874241,320.0,6.0,0.6106194690265486,ok,
4,inductive_IMf_noise_0.4,0.9608490843067022,0.23565503319022896,0.3784841515243306,0.7722805812721945,314.0,5.0,0.6181818181818182,ok,
4,inductive_IMf_noise_0.5,0.9711851961192702,0.21503771357260393,0.3521116348752633,0.7717293036758672,300.0,4.0,0.6190476190476191,ok,
4,inductive_IMf_noise_0.6,0.9627779459025094,0.1959028412810926,0.3255615130782155,0.7223479961594872,203.0,2.0,0.5629139072847682,ok,
5,alpha_classic,0.5476143491477091,0.1830236641421421,0.27435305279706895,0.7493484270609461,141.0,34.0,0.537037037037037,ok,
5,inductive_IM,0.9934023265044298,0.15599528705392451,0.26964747317221993,0.8004505309515546,257.0,6.0,0.5544041450777203,ok,
5,heuristics_dep_0.6,0.8427146282364404,0.4729547138560781,0.6058754173385148,0.5304270183921757,933.0,71.0,0.4431960049937578,ok,
5,heuristics_dep_0.7,0.8397618668551432,0.47219321148825066,0.6044869360868624,0.5298702174809405,933.0,71.0,0.4431960049937578,ok,
5,heuristics_dep_0.8,0.8411879827903095,0.47223431108016367,0.6048897287578234,0.530855029735346,933.0,71.0,0.4431960049937578,ok,
5,heuristics_dep_0.9,0.8338132957514716,0.4717005738132499,0.602537007424091,0.5232468997778685,933.0,71.0,0.4431960049937578,ok,
5,inductive_IMf_noise_0.3,0.9589750911709364,0.4768112385743206,0.6369333535363348,0.8234524307348021,296.0,5.0,0.6435643564356437,ok,
5,inductive_IMf_noise_0.4,0.9956712969594237,0.1754028758415238,0.29826225005344337,0.8212457572923767,298.0,5.0,0.6037735849056604,ok,
