,Open issues (weekly created),Closed issues (weekly closed)
count,284.0,284.0
mean,25.48,25.86
std,25.15,28.66
min,0.0,0.0
25%,7.0,8.0
50%,18.0,18.0
75%,34.25,33.0
max,193.0,246.0
