log_name,n_cases,variant_entropy,normalized_variant_entropy,sequence_entropy,normalized_sequence_entropy,magnitude,variety,affinity,status,error
anomaly_bug_fixes,66,4040.574950417468,0.4708780821277018,6085.21951972266,0.36558972024269626,2167,21,0.1776128731620164,ok,
anomaly_docs,27,521.3590014628805,0.5847982384353982,842.233038904597,0.5020291229750597,295,18,0.24586644342704023,ok,
anomaly_feature_work,12,724.155359536561,0.3937561576897712,788.342805967746,0.39505924489381866,342,18,0.15294749005736194,ok,
anomaly_other,235,13888.490657818795,0.5979241793798697,18528.66074096212,0.5625888697228979,3974,29,0.1655020835014088,ok,
anomaly_tech_debt,171,3826.801543994368,0.5176983663566592,7045.9601977016955,0.4412208490370258,2089,22,0.27159707517902976,ok,
normal_bug_fixes,243,10141.764304329774,0.535620006214495,16511.552866385922,0.49231115286714866,4039,24,0.20796842257658327,ok,
normal_docs,175,7178.569909588043,0.45493948635016507,10729.712752997691,0.45351283693192745,2960,22,0.24706541693425074,ok,
normal_feature_work,47,1856.5019085040187,0.558409448483492,2298.3512791037824,0.5298962433535196,667,21,0.1284092648111286,ok,
normal_other,1223,59470.70082203753,0.672485007716936,94529.11492254036,0.5639596534164325,17188,42,0.1447974319093384,ok,
normal_tech_debt,998,12403.505787598218,0.5362721797054032,37113.094080225594,0.3545626291087857,11224,24,0.5059533597834377,ok,
