,Open issues (weekly created),Closed issues (weekly closed)
count,585.0,585.0
mean,5.56,5.54
std,3.48,5.2
min,0.0,0.0
25%,3.0,2.0
50%,5.0,5.0
75%,8.0,8.0
max,22.0,61.0
