seed,discovery_method,fitness,precision,f_score,generalization,size,cfc,simplicity,status,error
0,alpha_classic,0.6847490661036219,0.88,0.7701927308660018,0.3368283619820771,87.0,12.0,0.3827160493827161,ok,
0,inductive_IM,1.0,0.364,0.5337243401759532,0.38307637824462537,173.0,4.0,0.6695652173913044,ok,
0,heuristics_dep_0.5,0.9085416666666667,0.5546875,0.6888281305616858,0.3261345368934837,96.0,2.0,0.6363636363636362,ok,
0,heuristics_dep_0.6,0.9085416666666667,0.5546875,0.6888281305616858,0.3261345368934837,96.0,2.0,0.6363636363636362,ok,
0,heuristics_dep_0.7,0.9085416666666667,0.5546875,0.6888281305616858,0.3261345368934837,96.0,2.0,0.6363636363636362,ok,
0,inductive_IMf_noise_0.2,0.9856814449917899,0.4129353233830846,0.5820360451038088,0.40337352690410044,141.0,3.0,0.6774193548387096,ok,
0,inductive_IMf_noise_0.3,0.960469206016613,0.4505494505494505,0.6133708736262782,0.38946906026203887,138.0,3.0,0.6888888888888889,ok,
0,inductive_IMf_noise_0.4,0.8404921217353767,0.5268817204301075,0.6477232801332068,0.32745612316892225,117.0,3.0,0.7066666666666667,ok,
0,split_miner_eps_0.1_eta_0.4,0.8106261859582542,0.5714285714285714,0.6703279460222815,0.2851029888159933,187.0,38.0,0.4,ok,
0,split_miner_eps_0.1_eta_0.5,0.8116638795986622,0.5714285714285714,0.6706824707990586,0.2851029888159933,187.0,38.0,0.4,ok,
0,split_miner_eps_0.1_eta_0.6,0.8404398996720046,0.625,0.7168836298405279,0.34368851757347707,127.0,17.0,0.504950495049505,ok,
0,split_miner_eps_0.2_eta_0.4,0.8081494057724957,0.5603448275862069,0.6618111036245601,0.29430516056507605,187.0,38.0,0.4,ok,
0,split_miner_eps_0.2_eta_0.5,0.818362480127186,0.5739130434782609,0.6746780988032499,0.28616923782025794,187.0,38.0,0.4,ok,
0,split_miner_eps_0.2_eta_0.6,0.8381944444444445,0.6233766233766234,0.7149988584404445,0.3192126638789127,127.0,17.0,0.504950495049505,ok,
0,split_miner_eps_0.3_eta_0.4,0.8106261859582542,0.5714285714285714,0.6703279460222815,0.2851029888159933,187.0,38.0,0.4,ok,
0,split_miner_eps_0.3_eta_0.5,0.818362480127186,0.5739130434782609,0.6746780988032499,0.28616923782025794,187.0,38.0,0.4,ok,
0,split_miner_eps_0.3_eta_0.6,0.8381944444444445,0.6233766233766234,0.7149988584404445,0.3192126638789127,127.0,17.0,0.504950495049505,ok,
1,alpha_classic,0.7781620553359684,0.26086956521739135,0.39074613905600697,0.3292893218813452,33.0,2.0,1.0,ok,
1,inductive_IM,1.0,0.564516129032258,0.7216494845360825,0.3965218363494095,103.0,1.0,0.7230769230769232,ok,
1,heuristics_dep_0.5,0.9573795180722892,0.5833333333333333,0.7249519403082335,0.3295496815815159,79.0,1.0,0.6603773584905661,ok,
1,heuristics_dep_0.6,0.9573795180722892,0.5833333333333333,0.7249519403082335,0.3295496815815159,79.0,1.0,0.6603773584905661,ok,
1,heuristics_dep_0.7,0.9573795180722892,0.5833333333333333,0.7249519403082335,0.3295496815815159,79.0,1.0,0.6603773584905661,ok,
1,inductive_IMf_noise_0.2,1.0,0.564516129032258,0.7216494845360825,0.3965218363494095,103.0,1.0,0.7230769230769232,ok,
1,inductive_IMf_noise_0.3,0.9756742464304601,0.5526315789473684,0.7056027535717212,0.39230166945814193,100.0,1.0,0.7419354838709676,ok,
1,inductive_IMf_noise_0.4,0.9452723751789172,0.5729166666666667,0.7134319684210587,0.37762609487006926,93.0,1.0,0.7543859649122806,ok,
1,split_miner_eps_0.1_eta_0.4,0.962962962962963,0.6122448979591837,0.7485604606525912,0.36734188923671285,66.0,0.0,0.7142857142857143,ok,
1,split_miner_eps_0.1_eta_0.5,0.9367088607594937,0.6419753086419753,0.7618293407246091,0.37172122279102215,63.0,0.0,0.7435897435897437,ok,
1,split_miner_eps_0.1_eta_0.6,0.9367088607594937,0.6419753086419753,0.7618293407246091,0.37172122279102215,63.0,0.0,0.7435897435897437,ok,
1,split_miner_eps_0.2_eta_0.4,0.962962962962963,0.6122448979591837,0.7485604606525912,0.36734188923671285,66.0,0.0,0.7142857142857143,ok,
1,split_miner_eps_0.2_eta_0.5,0.9367088607594937,0.6419753086419753,0.7618293407246091,0.37172122279102215,63.0,0.0,0.7435897435897437,ok,
