,mean,std,cv
top10_variant_coverage,1.0,0.0,0.0
top1_variant_coverage,0.22222222222222224,0.07407407407407407,0.3333333333333333
gini_variant_concentration,0.1199074074074074,0.07774723377147565,0.6483939187119205
