,Open issues (weekly created),Closed issues (weekly closed)
count,73.0,73.0
mean,1.64,1.66
std,1.92,2.0
min,0.0,0.0
25%,1.0,0.0
50%,1.0,1.0
75%,2.0,2.0
max,12.0,10.0
